ID,HID,PID,wave,survey_youth,survey_parent,gender_female,urban_size,school_type,weight_cross_std,weight_long_std,cyber_freq,cyber_count,cyber_any,offline_freq,offline_count,offline_any,smartphone_dependence,parent_warmth,parent_rejection,parent_autonomy,parent_coercion,parent_structure,parent_inconsistency,positive_peer,negative_peer,teacher_relation,attention_problem,aggression,depression,self_esteem,grit,academic_engagement,academic_helplessness,life_satisfaction,academic_achievement,school_satisfaction,parent_income,subjective_ses,parent_education_max,father_work,mother_work
7802.0,780.0,2.0,1,1.0,,0.0,1.0,,1.2938945348845765,,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,1.0,1.8,3.0,2.5,2.25,3.5,2.0,3.0,1.125,3.6,4.0,1.5714285714285714,2.3333333333333335,3.3,2.7,3.25,3.625,1.1875,2.0,4.0,2.0,5.0,3.0,5.0,1.0,0.0
7802.0,780.0,2.0,2,1.0,1.0,0.0,1.0,,1.260686727224,1.26672104739971,0.2,3.0,1.0,0.13333333333333333,2.0,1.0,2.2,3.25,2.25,2.75,2.5,4.0,4.0,3.0,2.0,1.5,2.4285714285714284,3.0,2.8,2.5,2.5,3.0,2.25,2.0,3.0,2.0,5.0,3.0,5.0,1.0,0.0
7802.0,780.0,2.0,3,1.0,1.0,0.0,1.0,,1.23324387106302,1.38061859297048,0.0,0.0,0.0,0.5333333333333333,2.0,1.0,2.2666666666666666,3.0,2.25,2.75,3.0,3.25,2.5,2.125,2.2,3.2857142857142856,2.5714285714285716,3.0,2.2,2.7,2.5,2.4375,2.125,1.8,3.0,1.0,5.0,3.0,5.0,1.0,0.0
7802.0,780.0,2.0,4,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7802.0,780.0,2.0,5,1.0,1.0,0.0,1.0,1.0,1.2095710915317592,,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.0,2.5,2.25,2.5,2.75,2.25,2.25,2.6,2.0714285714285716,2.0,2.3333333333333335,1.7,2.9,2.5,2.0,2.5,2.2,3.0,3.0,6.0,3.0,5.0,1.0,0.0
7802.0,780.0,2.0,6,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7802.0,780.0,2.0,7,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11922.0,1192.0,2.0,1,1.0,,1.0,3.0,,0.5364122914975848,,0.0,0.0,0.0,0.13333333333333333,2.0,1.0,3.4,1.0,3.25,1.0,3.25,2.25,4.0,3.625,2.0,2.9285714285714284,2.0,2.5,4.0,2.5,2.625,1.0,3.625,1.2,2.0,2.0,7.0,3.0,4.0,1.0,1.0
11922.0,1192.0,2.0,2,1.0,1.0,1.0,3.0,,0.514549804084322,0.516336233660278,0.0,0.0,0.0,0.0,0.0,0.0,2.8,3.5,1.75,3.5,2.25,3.0,2.0,3.375,1.0,3.142857142857143,2.142857142857143,2.0,1.6,2.9,3.0,3.125,2.4375,2.6,4.0,4.0,6.0,3.0,6.0,1.0,1.0
11922.0,1192.0,2.0,3,1.0,1.0,1.0,3.0,,0.511034920359108,0.498272387094321,0.0,0.0,0.0,0.0,0.0,0.0,2.533333333333333,3.25,3.5,3.25,3.25,3.25,3.0,2.5,2.4,3.2857142857142856,2.5714285714285716,3.1666666666666665,2.9,2.4,2.375,2.8125,2.875,3.2,3.0,3.0,7.0,3.0,6.0,1.0,1.0
11922.0,1192.0,2.0,4,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11922.0,1192.0,2.0,5,1.0,1.0,1.0,2.0,1.0,0.5300182206976929,,0.0,0.0,0.0,0.0,0.0,0.0,1.2,4.0,1.25,4.0,1.0,4.0,1.75,4.0,1.0,4.0,1.1428571428571428,1.0,1.1,3.4,3.625,3.875,1.5,3.0,4.0,4.0,10.0,4.0,6.0,1.0,1.0
11922.0,1192.0,2.0,6,1.0,1.0,1.0,2.0,1.0,0.5136572993088497,,0.0,0.0,0.0,0.0,0.0,0.0,1.8666666666666667,3.0,1.75,3.0,1.5,3.0,1.75,3.375,1.6,2.4285714285714284,1.5714285714285714,1.3333333333333333,1.2,2.9,3.125,2.0625,1.75,2.4,4.0,4.0,10.0,4.0,6.0,1.0,1.0
11922.0,1192.0,2.0,7,1.0,1.0,1.0,1.0,,0.524576214694533,,0.0,0.0,0.0,0.26666666666666666,1.0,1.0,2.2,2.25,2.0,2.75,2.0,2.25,2.0,3.25,1.2,,1.7142857142857142,1.0,1.3,2.8,2.375,2.75,1.0,3.0,4.0,4.0,9.0,3.0,6.0,1.0,1.0
11932.0,1193.0,2.0,1,1.0,,1.0,2.0,,0.6478706683337111,,0.06666666666666667,1.0,1.0,0.0,0.0,0.0,1.6,4.0,1.5,3.75,2.75,2.75,2.0,2.875,2.0,2.4285714285714284,1.7142857142857142,1.1666666666666667,1.1,3.2,2.75,2.875,1.0,2.4,4.0,4.0,8.0,3.0,7.0,1.0,1.0
11932.0,1193.0,2.0,2,1.0,1.0,1.0,3.0,,0.621465486058108,0.619989784884755,0.2,1.0,1.0,0.06666666666666667,1.0,1.0,2.3333333333333335,3.0,2.25,3.0,2.25,3.0,2.0,3.875,2.0,2.7857142857142856,2.0,2.0,1.4,4.0,2.75,2.4375,1.9375,3.0,,4.0,10.0,3.0,7.0,1.0,1.0
