Unnamed: 0,한국아동·청소년패널조사 2018 보호자용 코드북,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,
,문항,,,변수명,값,값설명
,,,,,,
,-,,,ID,-,종단자료 연계를 위한 고유 ID
,,,,HID,-,가구 ID
,,,,PID,-,개인 ID
,,,,PONLINE,0,TAPI 조사
,,,,,1,온라인 조사
,귀하는 ‘이 조사표를 가지고 온 학생’과 어떤 관계이십니까? 아래 해당 번호에 ○표 해 주십시오.,,,PARENT,1,어머니
,,,,,2,아버지
,,,,,3,(외)할머니
,,,,,4,(외)할아버지
,,,,,5,형제/자매
,,,,,6,친인척
,,,,,7,비혈연
,학생은 몇 년 몇 월에 태어났습니까? 실제 태어난 생년과 월을 아래에 써 주십시오.,,,PYBRT1A,-,학생 생년
,,,,PYBRT1B,-,학생 생월
,학생의 성별은 무엇입니까?,,,PYGENDER,1,남자
,,,,,2,여자
,귀하를 포함하여 귀댁에서 함께 생활하는 가구원은 모두 몇 명입니까?,,,PHOMPOP,-,명
,현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 다음 내용을 응답해 주십시오.,1번~8번,관계,PRELATE1~8,1,가구대표
,,,,,2,가구대표의 배우자
,,,,,3,가구대표의 자녀
,,,,,4,자녀의 배우자
,,,,,5,손자녀/그 배우자
,,,,,6,부모/조부모
,,,,,7,형제자매/그 배우자
,,,,,8,형제자매의 자녀
,,,,,9,기타 친인척
,,,,,10,"동거인(친구, 가사도우미 등 비혈연)"
,,,성별,PGENDER1~8,1,남자
,,,,,2,여자
,,,생년,PBRTA1~8,-,년
,,,생월,PBRTB1~8,-,월
,"현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 조사에 참여하는 청소년(자녀 또는 피양육자, 원패널)과의 관계를 기준으로 다음 내용을 응답해 주십시오.",1번~9번,관계,PFRELATION1~9,1,아버지
,,,,,2,어머니
,,,,,3,형제자매
,,,,,4,(외)할아버지
,,,,,5,(외)할머니
,,,,,6,"아버지의 형제자매 및 배우자(삼촌, 숙모, 고모 등)"
,,,,,7,"어머니의 형제자매 및 배우자(외삼촌, 외숙모, 이모 등)"
,,,,,8,사촌(아버지/어머니 형제자매의 자녀)
,,,,,9,"동거인(친구, 가사도우미 등 비혈연)"
,,,,,10,기타(관계:                    )
,,,,,11,원패널
,,,성별,PFGENDER1~9,1,남자
,,,,,2,여자
,,,생년,PFBRTA1~9,-,년
,,,생월,PFBRTB1~9,-,월
,조사에 참여하는 청소년(자녀 또는 피양육자)의 출생지는 어디입니까?,국내/해외,,PYBRP1,1,국내
,,,,,2,해외
,,국내 시도,,PYBRP2,1,서울
,,,,,2,부산
,,,,,3,대구
,,,,,4,인천
,,,,,5,광주
,,,,,6,대전
,,,,,7,울산
,,,,,8,세종
,,,,,9,경기
,,,,,10,강원
,,,,,11,충북
,,,,,12,충남
,,,,,13,전북
,,,,,14,전남
,,,,,15,경북
,,,,,16,경남
,,,,,17,제주
,,해외 국가명,,PYBRP3,-,국가명
,조사에 참여하는 청소년(자녀 또는 피양육자)과 함께 살고 있는 가구원의 구성은 어떻게 됩니까?,,,PFAM1A00,1,"부모 모두(아버지, 어머니) + 자녀"
,,,,,2,한 부모(아버지 또는 어머니) + 자녀
