0,1,2,3,4,5,6,7,8
,한국아동·청소년패널조사 2018 성인용 변수 레이아웃,,,,,,,
,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무
,,,,,,,,w7
,-,-,-,-,-,ID (종단자료 연계를 위한 고유 ID),ID,Y
,-,-,-,-,-,가구 ID,HID,Y
,-,-,-,-,-,개인 ID,PID,Y
,-,-,-,-,-,학교코드,SCLID,Y
,-,-,-,-,-,온라인 조사 여부,YONLINE,
,-,-,-,-,-,횡단면_원 가중치,WEIGHTA1,Y
,-,-,-,-,-,횡단면_표준화 가중치,WEIGHTA2,Y
,-,-,-,-,-,종단면_원 가중치,WEIGHTB1,Y
,-,-,-,-,-,종단면_표준화 가중치,WEIGHTB2,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계,SIBLING,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계_기타,SIBLING_T,Y
,-,-,-,-,-,[형제자매] 형제자매 학년,SGRADE,Y
,-,-,-,-,-,조사 참여 여부_청소년,SURVEY1,Y
,-,-,-,-,-,조사 참여 여부_보호자,SURVEY2,Y
,-,-,-,-,-,코호트 구분,COHORT,Y
,[배경변인],-,-,-,-,시/도(학교 기준),ARA1A,Y
,[배경변인],-,-,-,-,도시규모(학교 기준),ARA2A,Y
,[배경변인],-,-,-,-,시/도(거주지 기준),ARA1B,Y
,[배경변인],-,-,-,-,고등학교 유형,SCLTYP,Y
,[배경변인],-,-,-,-,쌍둥이 여부,YTWIN,Y
,[배경변인],-,-,-,-,생년,YBRT1A,SQ1
,[배경변인],-,-,-,-,생월,YBRT1B,SQ1
,[배경변인],-,-,-,-,성별,YGENDER,SQ2
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_기상(시),YTIM1A01,문1-1-1a
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_기상(분),YTIM1A02,문1-1-1a
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_취침(시),YTIM1B01,문1-1-2a
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_취침(분),YTIM1B02,문1-1-2a
,[개인발달],[생활시간],[하루일과],[수면의 질],-,평일_수면의 질,YTIM1C01,문1-1-3a
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_기상(시),YTIM1A03,문1-1-1b
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_기상(분),YTIM1A04,문1-1-1b
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_취침(시),YTIM1B03,문1-1-2b
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_취침(분),YTIM1B04,문1-1-2b
,[개인발달],[생활시간],[하루일과],[수면의 질],-,주말_수면의 질,YTIM1C02,문1-1-3b
,[개인발달],[생활시간],[하루일과],[부모님 대화시간],-,평일_부모님 대화시간,YTIM1D01,문1-2
,[개인발달],[생활시간],[하루일과],[부모님 대화시간],-,주말_부모님 대화시간,YTIM1D02,문1-2
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_학원 및 과외 시간,YTIM1E01,문1-3
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_학원 및 과외 시간,YTIM1E02,문1-3
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_인터넷 및 TV강의 시간,YTIM1F01,문1-4
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_인터넷 및 TV강의 시간,YTIM1F02,문1-4
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_방과 후 학교,YTIM1G01,문1-5
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_방과 후 학교,YTIM1G02,문1-5
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_스스로 공부하는 시간,YTIM1H01,문1-6
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_스스로 공부하는 시간,YTIM1H02,문1-6
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_독서 시간,YTIM1I01,문1-7
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_독서 시간,YTIM1I02,문1-7
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_운동 및 신체활동 시간,YTIM1J01,문1-8
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_운동 및 신체활동 시간,YTIM1J02,문1-8
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_스마트폰을 가지고 노는 시간,YTIM1K01,문1-9
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_스마트폰을 가지고 노는 시간,YTIM1K02,문1-9
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_컴퓨터를 가지고 노는 시간,YTIM1L01,문1-10
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_컴퓨터를 가지고 노는 시간,YTIM1L02,문1-10
