0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,한국아동·청소년패널조사 2018 중등용 변수 레이아웃,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무,,,,,,
,,,,,,,,w1,w2,w3,w4,w5,w6,w7
,-,-,-,-,-,ID (종단자료 연계를 위한 고유 ID),ID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,가구 ID,HID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,개인 ID,PID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,학교코드,SCLID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,온라인 조사 여부,YONLINE,,,Y,,,,
,-,-,-,-,-,횡단면_원 가중치,WEIGHTA1,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,횡단면_표준화 가중치,WEIGHTA2,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,종단면_원 가중치,WEIGHTB1,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,종단면_표준화 가중치,WEIGHTB2,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계,SIBLING,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 원패널과의 관계_기타,SIBLING_T,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,[형제자매] 형제자매 학년,SGRADE,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,조사 참여 여부_청소년,SURVEY1,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,조사 참여 여부_보호자,SURVEY2,,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,코호트 구분,COHORT,Y,Y,Y,Y,Y,Y,Y
,[배경변인],-,-,-,-,시/도(학교 기준),ARA1A,Y,Y,Y,Y,Y,Y,Y
,[배경변인],-,-,-,-,도시규모(학교 기준),ARA2A,Y,Y,Y,Y,Y,Y,Y
,[배경변인],-,-,-,-,시/도(거주지 기준),ARA1B,Y,Y,Y,Y,Y,Y,Y
,[배경변인],-,-,-,-,고등학교 유형,SCLTYP,,,,Y,Y,Y,Y
,[배경변인],-,-,-,-,쌍둥이 여부,YTWIN,Y,Y,Y,Y,Y,Y,Y
,[배경변인],-,-,-,-,생년,YBRT1A,SQ1,SQ1,SQ1,SQ1,SQ1,SQ1,SQ1
,[배경변인],-,-,-,-,생월,YBRT1B,SQ1,SQ1,SQ1,SQ1,SQ1,SQ1,SQ1
,[배경변인],-,-,-,-,성별,YGENDER,SQ2,SQ2,SQ2,SQ2,SQ2,SQ2,SQ2
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_기상(시),YTIM1A01,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_기상(분),YTIM1A02,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a,문1-1-1a
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_취침(시),YTIM1B01,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a
,[개인발달],[생활시간],[하루일과],[수면시간],-,평일_취침(분),YTIM1B02,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a,문1-1-2a
,[개인발달],[생활시간],[하루일과],[수면의 질],-,평일_수면의 질,YTIM1C01,문1-1-3a,문1-1-3a,문1-1-3a,문1-1-3a,문1-1-3a,문1-1-3a,문1-1-3a
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_기상(시),YTIM1A03,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_기상(분),YTIM1A04,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b,문1-1-1b
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_취침(시),YTIM1B03,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b
,[개인발달],[생활시간],[하루일과],[수면시간],-,주말_취침(분),YTIM1B04,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b,문1-1-2b
,[개인발달],[생활시간],[하루일과],[수면의 질],-,주말_수면의 질,YTIM1C02,문1-1-3b,문1-1-3b,문1-1-3b,문1-1-3b,문1-1-3b,문1-1-3b,문1-1-3b
,[개인발달],[생활시간],[하루일과],[부모님 대화시간],-,평일_부모님 대화시간,YTIM1D01,문1-2,문1-2,문1-2,문1-2,문1-2,문1-2,문1-2
,[개인발달],[생활시간],[하루일과],[부모님 대화시간],-,주말_부모님 대화시간,YTIM1D02,문1-2,문1-2,문1-2,문1-2,문1-2,문1-2,문1-2
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_학원 및 과외 시간,YTIM1E01,문1-3,문1-3,문1-3,문1-3,문1-3,문1-3,문1-3
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_학원 및 과외 시간,YTIM1E02,문1-3,문1-3,문1-3,문1-3,문1-3,문1-3,문1-3
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_인터넷 및 TV강의 시간,YTIM1F01,문1-4,문1-4,문1-4,문1-4,문1-4,문1-4,문1-4
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_인터넷 및 TV강의 시간,YTIM1F02,문1-4,문1-4,문1-4,문1-4,문1-4,문1-4,문1-4
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_방과 후 학교,YTIM1G01,문1-5,문1-5,문1-5,문1-5,문1-5,문1-5,문1-5
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_방과 후 학교,YTIM1G02,문1-5,문1-5,문1-5,문1-5,문1-5,문1-5,문1-5
,[개인발달],[생활시간],[하루일과],[학습시간],-,평일_스스로 공부하는 시간,YTIM1H01,문1-6,문1-6,문1-6,문1-6,문1-6,문1-6,문1-6
,[개인발달],[생활시간],[하루일과],[학습시간],-,주말_스스로 공부하는 시간,YTIM1H02,문1-6,문1-6,문1-6,문1-6,문1-6,문1-6,문1-6
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_독서 시간,YTIM1I01,문1-7,문1-7,문1-7,문1-7,문1-7,문1-7,문1-7
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_독서 시간,YTIM1I02,문1-7,문1-7,문1-7,문1-7,문1-7,문1-7,문1-7
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_운동 및 신체활동 시간,YTIM1J01,문1-8,문1-8,문1-8,문1-8,문1-8,문1-8,문1-8
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_운동 및 신체활동 시간,YTIM1J02,문1-8,문1-8,문1-8,문1-8,문1-8,문1-8,문1-8
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_스마트폰을 가지고 노는 시간,YTIM1K01,문1-9,문1-9,문1-9,문1-9,문1-9,문1-9,문1-9
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_스마트폰을 가지고 노는 시간,YTIM1K02,문1-9,문1-9,문1-9,문1-9,문1-9,문1-9,문1-9
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_컴퓨터를 가지고 노는 시간,YTIM1L01,문1-10,문1-10,문1-10,문1-10,문1-10,문1-10,문1-10
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_컴퓨터를 가지고 노는 시간,YTIM1L02,문1-10,문1-10,문1-10,문1-10,문1-10,문1-10,문1-10
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_TV를 시청하며 노는 시간,YTIM1M01,문1-11,문1-11,문1-11,문1-11,문1-11,문1-11,문1-11
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_TV를 시청하며 노는 시간,YTIM1M02,문1-11,문1-11,문1-11,문1-11,문1-11,문1-11,문1-11
,[개인발달],[생활시간],[하루일과],[여가시간],-,평일_이외에 친구들과 노는 시간,YTIM1N01,문1-12,문1-12,문1-12,문1-12,문1-12,문1-12,문1-12
,[개인발달],[생활시간],[하루일과],[여가시간],-,주말_이외에 친구들과 노는 시간,YTIM1N02,문1-12,문1-12,문1-12,문1-12,문1-12,문1-12,문1-12
,[개인발달],[지적발달],[학업성취],[전 교과 성취도의 주관적 평가],-,지난 학기 전 과목 성적 수준,YINT1A00,문6,문6,문6,문6,문6,문6,문6
,[개인발달],[지적발달],[학업성취],[학업성취 만족도],-,지난 학기 학교성적 만족 수준,YINT1B00,문7,문7,문7,문7,문7,문7,문7
,[개인발달],[지적발달],[학업태도],[학업 열의],[헌신],나는 내가 하고 있는 공부의 의미와 목적을 분명히 안다,YINT2A01,문9-1,문9-1,문9-1,문9-1,문9-1,문9-1,문9-1
,[개인발달],[지적발달],[학업태도],[학업 열의],[헌신],나는 공부란 도전해 볼만한 것이라고 생각한다,YINT2A02,문9-2,문9-2,문9-2,문9-2,문9-2,문9-2,문9-2
,[개인발달],[지적발달],[학업태도],[학업 열의],[헌신],나는 공부를 하면 뿌듯해진다,YINT2A03,문9-3,문9-3,문9-3,문9-3,문9-3,문9-3,문9-3
,[개인발달],[지적발달],[학업태도],[학업 열의],[헌신],나는 공부를 통해 자아실현을 할 수 있다고 생각한다,YINT2A04,문9-4,문9-4,문9-4,문9-4,문9-4,문9-4,문9-4
,[개인발달],[지적발달],[학업태도],[학업 열의],[활기],나는 공부할 때 힘이 나고 활기가 생긴다,YINT2A05,문9-5,문9-5,문9-5,문9-5,문9-5,문9-5,문9-5
,[개인발달],[지적발달],[학업태도],[학업 열의],[활기],나는 공부할 때 에너지가 생긴다,YINT2A06,문9-6,문9-6,문9-6,문9-6,문9-6,문9-6,문9-6
,[개인발달],[지적발달],[학업태도],[학업 열의],[활기],나는 공부할 때 정신적으로 힘이 난다,YINT2A07,문9-7,문9-7,문9-7,문9-7,문9-7,문9-7,문9-7
,[개인발달],[지적발달],[학업태도],[학업 열의],[활기],아침에 일어나면 수업 들으러 학교에 가고 싶다,YINT2A08,문9-8,문9-8,문9-8,문9-8,문9-8,문9-8,문9-8
,[개인발달],[지적발달],[학업태도],[학업 열의],[효능감],나는 공부를 잘한다,YINT2A09,문9-9,문9-9,문9-9,문9-9,문9-9,문9-9,문9-9
,[개인발달],[지적발달],[학업태도],[학업 열의],[효능감],나는 공부에 있어 누구에게도 뒤지지 않는다,YINT2A10,문9-10,문9-10,문9-10,문9-10,문9-10,문9-10,문9-10
,[개인발달],[지적발달],[학업태도],[학업 열의],[효능감],나는 공부에 자신이 있다,YINT2A11,문9-11,문9-11,문9-11,문9-11,문9-11,문9-11,문9-11
,[개인발달],[지적발달],[학업태도],[학업 열의],[효능감],나는 어려운 과제도 충분히 해결할 만한 능력이 있다,YINT2A12,문9-12,문9-12,문9-12,문9-12,문9-12,문9-12,문9-12
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],나는 공부할 때 내 주변의 다른 모든 것을 잊어버린다,YINT2A13,문9-13,문9-13,문9-13,문9-13,문9-13,문9-13,문9-13
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],나는 공부를 시작하면 푹 빠진다,YINT2A14,문9-14,문9-14,문9-14,문9-14,문9-14,문9-14,문9-14
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],공부를 하다보면 나도 모르게 집중할 때가 있다,YINT2A15,문9-15,문9-15,문9-15,문9-15,문9-15,문9-15,문9-15
,[개인발달],[지적발달],[학업태도],[학업 열의],[몰두],나는 공부할 때 시간이 잘 간다,YINT2A16,문9-16,문9-16,문9-16,문9-16,문9-16,문9-16,문9-16
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],실력 차이를 내 힘으로 극복할 수는 없다고 생각한다,YINT2B01,문10-1,문10-1,문10-1,문10-1,문10-1,문10-1,문10-1
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],아무리 공부해도 내가 지금보다 더 잘할 수는 없다고 생각한다,YINT2B02,문10-2,문10-2,문10-2,문10-2,문10-2,문10-2,문10-2
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],내 힘으로 학업 문제를 해결할 수는 없다고 생각한다,YINT2B03,문10-3,문10-3,문10-3,문10-3,문10-3,문10-3,문10-3
,[개인발달],[지적발달],[학업태도],[학업 무기력],[통제신념 결여],공부를 잘하기 위하여 내가 할 수 있는 일이 없다고 생각한다,YINT2B04,문10-4,문10-4,문10-4,문10-4,문10-4,문10-4,문10-4
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부에 신경 쓰고 싶지 않다,YINT2B05,문10-5,문10-5,문10-5,문10-5,문10-5,문10-5,문10-5
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부를 왜 해야 하는지 관심도 없다,YINT2B06,문10-6,문10-6,문10-6,문10-6,문10-6,문10-6,문10-6
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부를 열심히 해야 하는 이유를 모르겠다,YINT2B07,문10-7,문10-7,문10-7,문10-7,문10-7,문10-7,문10-7
,[개인발달],[지적발달],[학업태도],[학업 무기력],[학습동기 결여],공부하고 싶은 의욕이 생기지 않는다,YINT2B08,문10-8,문10-8,문10-8,문10-8,문10-8,문10-8,문10-8
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],공부하는 것이 즐겁지 않다,YINT2B09,문10-9,문10-9,문10-9,문10-9,문10-9,문10-9,문10-9
,[개인발달],[지적발달],[학업태도],[학업 무기력],[긍정정서 결여],수업을 듣거나 모둠활동을 하면서 유쾌함을 느끼지 못한다,YINT2B10,문10-10,문10-10,문10-10,문10-10,문10-10,문10-10,문10-10
