Unnamed: 0,한국아동·청소년패널조사 2018 보호자용 변수 레이아웃,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,! 시트명 변경 시 하이퍼링크가 작동하지 않음,,,,,,,,,,,,,
,대영역,중영역,소영역,조사항목,하위요인,변수설명,변수명,변수유무,,,,,,
,,,,,,,,w1,w2,w3,w4,w5,w6,w7
,-,-,-,-,-,ID (종단자료 연계를 위한 고유 ID),ID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,가구 ID,HID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,개인 ID,PID,Y,Y,Y,Y,Y,Y,Y
,-,-,-,-,-,온라인 조사 여부,PONLINE,,,Y,,,,
,[배경변인],-,-,-,-,학생과의 관계,PARENT,SQ1,SQ1,SQ1,SQ1,SQ1,SQ1,SQ1
,[배경변인],-,-,-,-,학생 생년,PYBRT1A,SQ2,SQ2,SQ2,SQ2,SQ2,SQ2,SQ2
,[배경변인],-,-,-,-,학생 생월,PYBRT1B,SQ2,SQ2,SQ2,SQ2,SQ2,SQ2,SQ2
,[배경변인],-,-,-,-,학생 성별,PYGENDER,SQ3,SQ3,SQ3,SQ3,SQ3,SQ3,SQ3
,[배경변인],-,-,-,-,월 평균 가구 소득,PINCOME,문23,문23,문23,문23,문23,문23,문23
,[배경변인],-,-,-,-,주관적 가정의 경제수준,PINCOME1,문24,문24,문24,문24,문24,문24,문24
,[배경변인],-,-,[자녀의 출생지],-,[자녀의 출생지]-국내외 여부,PYBRP1,문1,문1,문1,문1,문1,문1,문1
,[배경변인],-,-,[자녀의 출생지],-,[자녀의 출생지]-국내 시/도,PYBRP2,문1-1,문1-1,문1-1,문1-1,문1-1,문1-1,문1-1
,[배경변인],-,-,[자녀의 출생지],-,[자녀의 출생지]-해외 국가명,PYBRP3,문1-2,문1-2,문1-2,문1-2,문1-2,문1-2,문1-2
,[배경변인],-,-,[본인의 출생지],-,[본인의 출생지]-국내외 여부,PBRP1,문20,문20,문20,문20,문20,문20,문20
,[배경변인],-,-,[본인의 출생지],-,[본인의 출생지]-국내 시/도,PBRP2,문20-1,문20-1,문20-1,문20-1,문20-1,문20-1,문20-1
,[배경변인],-,-,[본인의 출생지],-,[본인의 출생지]-해외 국가명,PBRP3,문20-2,문20-2,문20-2,문20-2,문20-2,문20-2,문20-2
,[배경변인],-,-,[최종학력],-,[최종학력]-아버지,PSCHOOL1,문21-1,문21-1,문21-1,문21-1,문21-1,문21-1,문21-1
,[배경변인],-,-,[최종학력],-,[최종학력]-어머니,PSCHOOL2,문21-2,문21-2,문21-2,문21-2,문21-2,문21-2,문21-2
,[배경변인],-,-,[최종학력],-,[최종학력]-보호자,PSCHOOL3,문21-3,문21-3,문21-3,문21-3,문21-3,문21-3,문21-3
,[배경변인],-,-,[주간노동시간],-,[주간노동시간]-아버지,PWORKW1,문22-1,문22-1,문22-1,문22-1,문22-1,문22-1,문22-1
,[배경변인],-,-,[주간노동시간],-,[주간노동시간]-어머니,PWORKW2,문22-2,문22-2,문22-2,문22-2,문22-2,문22-2,문22-2
