prefix,n_items,n_in_all_7,n_in_6plus,n_in_4plus,sample_construct
YSVL1,99,0,0,0,지난 1년 동안 귀하는 다음과 같은 행동을 친구나 선후배에게 가한 경험이 있습니까? 다음 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YPSY4,36,36,36,36,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YFAM1,36,4,24,32,부모님(부모님이 안 계신 경우에는 보호자)과 하루에 얼마나 시간을 함께 보내십니까? 평일과 주말로 구분하여 기입해 주십시오.
YSVL2,34,0,0,0,그러한 행동이 있었다면 누가 주로 그런 행동을 했습니까?
YINT2,32,32,32,32,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YTIM1,32,32,32,32,지난 학기(조사년도 1학기) 중 하루를 어떻게 보냈는지에 대한 질문입니다. 각 항목별로 응답해 주십시오.
YFUR4,31,0,0,0,"([문12]에서 ②, ③에 응답한 사람만 응답) 장래 원하는 직업을 가질 수 있을 것이라고 생각하십니까?"
YPSY6,31,31,31,31,본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.
YMDA1,30,29,30,30,스마트폰을 사용합니까?
YRME1,29,0,0,0,"각각의 눈을 보고, 그 사람의 감정이나 생각을 가장 잘 묘사한 단어라고 생각되는 한 단어만을 선택해 주십시오."
YDIS1,24,0,0,0,우리 사회와 본인이 다음의 재난으로부터 얼마나 안전하다고 느끼십니까?
YFAM2,24,24,24,24,부모님(부모님이 안 계신 경우에는 보호자)을 어떻게 생각하는지에 대한 질문입니다.다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YRRS1,18,0,0,0,자신의 성향에 대한 질문입니다. 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YACT1,18,18,18,18,"지난 1년 동안 다음과 같은 체험활동에 참여한 적이 있습니까? 참여한 적이 있다면 총 참여 횟수는 얼마나 되는지, 또한 참여 경험이 얼마나 만족스러웠는지 응답해 주십시오."
YUNI1,16,0,0,0,재학 중인 학교는 어느 지역에 있습니까?
YJOB1,16,0,0,0,현재 일하고 있는 직장(직업)은 어느 지역에 있습니까?
YDLQ1,15,15,15,15,지난 1년 동안 다음과 같은 행동을 한 경험이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YSVL3,15,0,0,0,귀하는 다음과 같은 행동을 얼마나 자주하는지 응답해 주십시오.
YDLQ2,15,15,15,15,지난 1년 동안 스마트폰이나 컴퓨터(인터넷) 상에서 다음과 같은 행동을 한 적이 있습니까?다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YEDU3,14,14,14,14,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YPSY5,14,14,14,14,다음 각 문항에 대하여 자신의 생각과 일치하는 항목에 응답해 주십시오.
YFUR3,13,0,0,13,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YEDU2,13,13,13,13,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YDIS3,12,0,0,0,다음의 재난발생 시의 행동요령을 얼마나 알고 계십니까?
YACT3,10,10,10,10,특별히 좋아하는 연예인이나 운동선수가 있습니까?
YPSY3,10,10,10,10,다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YALL1,9,0,0,0,(남자만 응답) 귀하의 병역관계는 다음 중 어디에 해당됩니까?
YFUR2,9,9,9,9,"진로(진학, 직업 선택 등)와 관련하여 다음 분들과 얼마나 자주 대화(또는 상담)하십니까?"
YPSY7,8,8,8,8,다음 각 문항에 대해 평소 본인의 생각과 가장 가깝다고 생각되는 곳에 응답해 주십시오.
YEDU1,7,1,1,1,지난 학기(조사년도 1학기) 학교생활에 얼마나 만족하십니까?
YCOM1,6,0,0,0,귀하가 동네와 동네 사람들을 어떻게 생각하는지에 대한 질문입니다. 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YMCQ1,6,0,0,0,이번에 하실 응답은 다른 두 시점에 얼마의 돈을 받을 수 있을 때 어느 쪽을 선택할지에 대한 것입니다.
YPSY1,5,5,5,5,현재 자신의 생활에 대해 어떻게 생각하는지에 대한 질문입니다. 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YCOM3,5,0,0,0,귀하는 자신과 문화적 배경이 다른 사람들에 대해 어떻게 생각하고 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YCOM2,4,0,0,0,귀하는 다음에 예시한 것과 같은 행동들을 할 의사가 있습니까? 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.
YACT2,4,4,4,4,"지난 1년 동안 다음과 같은 동아리 활동에 참여한 경험이 있습니까?경험이 있다면 총 참여 횟수가 얼마나 되는지, 또한 그 경험이 얼마나 만족스러웠는지 응답해 주십시오."
YPSY2,4,4,4,4,아래 문항을 읽고 자신을 가장 잘 설명한다고 생각하는 항목에 응답해 주십시오.
YNON1,4,0,0,0,현재 대학 진학 또는 취업/사업을 준비하고 있습니까?
YPHY1,3,3,3,3,또래 친구들과 비교해 볼 때 건강 상태가 어떻다고 생각합니까?
