var,construct,sub,first_val,first_val_label
ID,-,,-,종단자료 연계를 위한 고유 ID
HID,-,,-,가구 ID
PID,-,,-,개인 ID
PONLINE,-,,0,TAPI 조사
PARENT,귀하는 ‘이 조사표를 가지고 온 학생’과 어떤 관계이십니까? 아래 해당 번호에 ○표 해 주십시오.,,1,어머니
PYBRT1A,학생은 몇 년 몇 월에 태어났습니까? 실제 태어난 생년과 월을 아래에 써 주십시오.,,-,학생 생년
PYBRT1B,학생은 몇 년 몇 월에 태어났습니까? 실제 태어난 생년과 월을 아래에 써 주십시오.,,-,학생 생월
PYGENDER,학생의 성별은 무엇입니까?,,1,남자
PHOMPOP,귀하를 포함하여 귀댁에서 함께 생활하는 가구원은 모두 몇 명입니까?,,-,명
PRELATE1~8,현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 다음 내용을 응답해 주십시오.,1번~8번 / 관계,1,가구대표
PGENDER1~8,현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 다음 내용을 응답해 주십시오.,1번~8번 / 성별,1,남자
PBRTA1~8,현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 다음 내용을 응답해 주십시오.,1번~8번 / 생년,-,년
PBRTB1~8,현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 다음 내용을 응답해 주십시오.,1번~8번 / 생월,-,월
PFRELATION1~9,"현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 조사에 참여하는 청소년(자녀 또는 피양육자, 원패널)과의 관계를 기준으로 다음 내용을 응답해 주십시오.",1번~9번 / 관계,1,아버지
PFGENDER1~9,"현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 조사에 참여하는 청소년(자녀 또는 피양육자, 원패널)과의 관계를 기준으로 다음 내용을 응답해 주십시오.",1번~9번 / 성별,1,남자
PFBRTA1~9,"현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 조사에 참여하는 청소년(자녀 또는 피양육자, 원패널)과의 관계를 기준으로 다음 내용을 응답해 주십시오.",1번~9번 / 생년,-,년
PFBRTB1~9,"현재 귀댁에 실제로 함께 살고 있는 가구원 모두에 대하여 조사에 참여하는 청소년(자녀 또는 피양육자, 원패널)과의 관계를 기준으로 다음 내용을 응답해 주십시오.",1번~9번 / 생월,-,월
PYBRP1,조사에 참여하는 청소년(자녀 또는 피양육자)의 출생지는 어디입니까?,국내/해외 / 생월,1,국내
PYBRP2,조사에 참여하는 청소년(자녀 또는 피양육자)의 출생지는 어디입니까?,국내 시도 / 생월,1,서울
PYBRP3,조사에 참여하는 청소년(자녀 또는 피양육자)의 출생지는 어디입니까?,해외 국가명 / 생월,-,국가명
PFAM1A00,조사에 참여하는 청소년(자녀 또는 피양육자)과 함께 살고 있는 가구원의 구성은 어떻게 됩니까?,해외 국가명 / 생월,1,"부모 모두(아버지, 어머니) + 자녀"
PFAM1A00_T,조사에 참여하는 청소년(자녀 또는 피양육자)과 함께 살고 있는 가구원의 구성은 어떻게 됩니까?,해외 국가명 / 생월,-,기타 (구체적으로)
PEDU1A00,조사에 참여하는 청소년(자녀 또는 피양육자)은 지난 1년간 사교육을 받은 경험이 있습니까?,해외 국가명 / 생월,1,예
PEDU1B01,"지난 1년간 사교육을 받은 경험이 있는 경우, 받은 이유를 중요한 순서대로 1순위와 2순위로 응답해 주십시오.",1순위 / 생월,1,상급 학교 진학을 위해
PEDU1B02,"지난 1년간 사교육을 받은 경험이 있는 경우, 받은 이유를 중요한 순서대로 1순위와 2순위로 응답해 주십시오.",2순위 / 생월,1,상급 학교 진학을 위해
PEDU1B02_T,"지난 1년간 사교육을 받은 경험이 있는 경우, 받은 이유를 중요한 순서대로 1순위와 2순위로 응답해 주십시오.",기타 (구체적으로) / 생월,-,
PEDU1C00,"지난 1년간 사교육을 받은 경험이 있는 경우, 월평균 교육비를 응답해 주십시오.",기타 (구체적으로) / 생월,-,만원
PEDU1B03,"지난 1년간 사교육을 받은 경험이 없는 경우, 받지 않은 이유를 중요한 순서대로 1순위와 2순위로 응답해 주십시오.",1순위 / 생월,1,학교 수업만으로도 충분해서
