var,label,dtype,n_unique,n_missing
ID,,float64,3438,0
HID,,float64,2579,0
PID,,float64,4,0
PARENTw4,,float64,7,326
PYBRT1Aw4,,float64,13,326
PYBRT1Bw4,,float64,12,326
PYGENDERw4,,float64,2,326
PINCOMEw4,,float64,13,326
PINCOME1w4,,float64,5,326
PYBRP1w4,,float64,2,326
PYBRP2w4,,float64,17,355
PYBRP3w4,,object,6,0
PBRP1w4,,float64,2,326
PBRP2w4,,float64,17,369
PBRP3w4,,object,8,0
PSCHOOL1w4,,float64,9,326
PSCHOOL2w4,,float64,8,326
PSCHOOL3w4,,float64,6,326
PWORKW1w4,,float64,3,326
PWORKW2w4,,float64,3,326
PWORKW3w4,,float64,3,326
PJOB1w4,,float64,11,589
PJOB2w4,,float64,11,1192
PJOB3w4,,float64,5,3427
PJOB1_Tw4,,object,4,0
PJOB2_Tw4,,object,4,0
PJOB3_Tw4,,object,1,0
PHOMPOPw4,,float64,8,326
PFRELATION1w4,,float64,1,326
PFGENDER1w4,,float64,2,326
PFBRTA1w4,,float64,3,326
PFBRTB1w4,,float64,12,326
PFRELATION2w4,,float64,8,326
PFGENDER2w4,,float64,2,326
PFBRTA2w4,,float64,69,326
PFBRTB2w4,,float64,12,326
PFRELATION3w4,,float64,7,394
PFGENDER3w4,,float64,2,394
PFBRTA3w4,,float64,74,394
PFBRTB3w4,,float64,12,394
PFRELATION4w4,,float64,8,818
PFGENDER4w4,,float64,2,818
PFBRTA4w4,,float64,64,818
PFBRTB4w4,,float64,12,818
PFRELATION5w4,,float64,9,2498
PFGENDER5w4,,float64,2,2498
PFBRTA5w4,,float64,52,2498
PFBRTB5w4,,float64,12,2498
PFRELATION6w4,,float64,5,3261
PFGENDER6w4,,float64,2,3261
PFBRTA6w4,,float64,28,3261
PFBRTB6w4,,float64,12,3261
PFRELATION7w4,,float64,4,3398
PFGENDER7w4,,float64,2,3398
PFBRTA7w4,,float64,14,3398
PFBRTB7w4,,float64,11,3398
PFRELATION8w4,,float64,2,3426
PFGENDER8w4,,float64,1,3426
PFBRTA8w4,,float64,5,3426
PFBRTB8w4,,float64,6,3426
PFRELATION9w4,,float64,1,3437
PFGENDER9w4,,float64,1,3437
PFBRTA9w4,,float64,1,3437
PFBRTB9w4,,float64,1,3437
PFAM1A00w4,,float64,6,326
PFAM1A00_Tw4,,object,5,0
PFAM2A01w4,,float64,7,326
PFAM2A01_Tw4,,object,4,0
PFAM2A02w4,,float64,7,326
PFAM2A02_Tw4,,object,5,0
PFAM2A03w4,,float64,7,326
PFAM2A03_Tw4,,object,5,0
PFAM2A04w4,,float64,7,326
PFAM2A04_Tw4,,object,5,0
PFAM3A00w4,,float64,6,326
PFAM3B00w4,,float64,6,326
PFAM3C00w4,,float64,6,326
PFAM3D00w4,,float64,5,326
PFAM3E01w4,,float64,6,326
PFAM3E02w4,,float64,6,326
PFAM3F01w4,,float64,6,352
PFAM3F02w4,,float64,6,1338
PFAM6A00w4,,float64,7,326
PFAM6B00w4,,float64,5,1174
PFAM5A01w4,,float64,19,367
PFAM5A02w4,,float64,6,367
PFAM5A03w4,,float64,22,367
PFAM5A04w4,,float64,6,367
PFAM5B01w4,,float64,19,670
PFAM5B02w4,,float64,6,670
PFAM5B03w4,,float64,23,670
PFAM5B04w4,,float64,6,670
PFAM5C01w4,,float64,16,2553
PFAM5C02w4,,float64,6,2553
PFAM5C03w4,,float64,22,2553
PFAM5C04w4,,float64,6,2553
PFAM5D01w4,,float64,12,3335
PFAM5D02w4,,float64,5,3335
PFAM5D03w4,,float64,17,3335
PFAM5D04w4,,float64,5,3335
PFAM5E01w4,,float64,5,3423
PFAM5E02w4,,float64,4,3423
PFAM5E03w4,,float64,6,3423
PFAM5E04w4,,float64,4,3423
PFAM5F01w4,,float64,3,3435
PFAM5F02w4,,float64,2,3435
PFAM5F03w4,,float64,3,3435
PFAM5F04w4,,float64,2,3435
PFAM5G01w4,,float64,1,3437
PFAM5G02w4,,float64,1,3437
PFAM5G03w4,,float64,1,3437
PFAM5G04w4,,float64,1,3437
PEDU1A00w4,,float64,2,326
PEDU1B01w4,,float64,8,845
PEDU1B02w4,,float64,8,845
PEDU1B02_Tw4,,object,13,0
PEDU1C00w4,,float64,95,845
PEDU1B03w4,,float64,8,2919
PEDU1B04w4,,float64,8,2919
PEDU1B04_Tw4,,object,15,0
PPSY1A01w4,,float64,4,326
PPSY1A02w4,,float64,4,326
PPSY1A03w4,,float64,4,326
PPSY1A04w4,,float64,4,326
PPSY1A05w4,,float64,4,326
PPSY2A01w4,,float64,4,326
PPSY2A02w4,,float64,3,326
PPSY2A03w4,,float64,4,326
PPSY2A04w4,,float64,4,326
PPSY3A01w4,,float64,4,326
PPSY3A02w4,,float64,4,326
PPSY3A03w4,,float64,4,326
PPSY3A04w4,,float64,4,326
PPSY3A05w4,,float64,4,326
PPSY3A06w4,,float64,4,326
PPSY3A07w4,,float64,4,326
PPSY3A08w4,,float64,4,326
PPSY3A09w4,,float64,4,326
PPSY3A10w4,,float64,4,326
PPSY4A01w4,,float64,2,326
PPSY4A02w4,,float64,2,326
PPSY4A03w4,,float64,2,326
PPSY4A04w4,,float64,2,326
PPSY4A05w4,,float64,2,326
PPSY4A06w4,,float64,2,326
PPSY4A07w4,,float64,2,326
PPSY4A08w4,,float64,2,326
PPSY4A09w4,,float64,2,326
PPSY4A10w4,,float64,2,326
PPSY4A11w4,,float64,2,326
PPSY4A12w4,,float64,2,326
PPSY4A13w4,,float64,2,326
PPSY4A14w4,,float64,2,326
PPSY4A15w4,,float64,2,326
PPSY4A16w4,,float64,2,326
PPSY4A17w4,,float64,2,326
PPSY4A18w4,,float64,2,326
PPSY4A19w4,,float64,2,326
PPSY4A20w4,,float64,2,326
PPSY4A21w4,,float64,2,326
PPSY4A22w4,,float64,2,326
PPSY4A23w4,,float64,2,326
PPSY4A24w4,,float64,2,326
PPSY4A25w4,,float64,2,326
PPSY4A26w4,,float64,2,326
PPSY4A27w4,,float64,2,326
PPSY4A28w4,,float64,2,326
PPSY4A29w4,,float64,2,326
PPSY4A30w4,,float64,2,326
PPSY4Ascw4,,float64,23,326
PPSY5A01w4,,float64,4,326
PPSY5A02w4,,float64,4,326
PPSY5A03w4,,float64,4,326
PPSY5A04w4,,float64,4,326
PPSY5A05w4,,float64,4,326
PPSY5A06w4,,float64,4,326
PPSY5A07w4,,float64,4,326
PPSY5A08w4,,float64,4,326
PMDA1A00w4,,float64,3,326
PMDA1B01w4,,float64,4,340
PMDA1B02w4,,float64,4,340
PMDA1B03w4,,float64,4,340
PMDA1B04w4,,float64,4,340
PMDA1B05w4,,float64,4,340
PMDA1B06w4,,float64,4,340
PMDA1B07w4,,float64,4,340
PMDA1B08w4,,float64,4,340
PMDA1B09w4,,float64,4,340
PMDA1B10w4,,float64,4,340
PMDA1B11w4,,float64,4,340
PMDA1B12w4,,float64,4,340
PMDA1B13w4,,float64,3,340
PMDA1B13_Tw4,,object,7,0
PMDA1C01w4,,float64,4,340
PMDA1C02w4,,float64,4,340
PMDA1C03w4,,float64,4,340
PMDA1C04w4,,float64,4,340
PMDA1C05w4,,float64,4,340
PMDA1C06w4,,float64,4,340
PMDA1C07w4,,float64,4,340
PMDA1C08w4,,float64,4,340
PMDA1C09w4,,float64,4,340
PMDA1C10w4,,float64,4,340
PMDA1C11w4,,float64,4,340
PMDA1C12w4,,float64,4,340
PMDA1C13w4,,float64,4,340
PMDA1C14w4,,float64,4,340
PMDA1C15w4,,float64,4,340
PPHY1A00w4,,float64,4,326
PPHY1B00w4,,float64,5,326
PPHY1C00w4,,float64,8,326
PPHY2A00w4,,float64,40,326
PPHY2B00w4,,float64,61,326
PRME1A01w4,,float64,4,326
PRME1A02w4,,float64,4,326
PRME1A03w4,,float64,4,326
PRME1A04w4,,float64,4,326
PRME1A05w4,,float64,4,326
PRME1A06w4,,float64,4,326
PRME1A07w4,,float64,4,326
PRME1A08w4,,float64,4,326
PRME1A09w4,,float64,4,326
PRME1A10w4,,float64,4,326
PRME1A11w4,,float64,4,326
PRME1A12w4,,float64,4,326
PRME1A13w4,,float64,4,326
PRME1A14w4,,float64,4,326
PRME1A15w4,,float64,4,326
PRME1A16w4,,float64,4,326
PRME1A17w4,,float64,4,326
PRME1A18w4,,float64,4,326
PRME1A19w4,,float64,4,326
PRME1A20w4,,float64,4,326
PRME1A21w4,,float64,4,326
PRME1A22w4,,float64,4,326
PRME1A23w4,,float64,4,326
PRME1A24w4,,float64,4,326
PRME1A25w4,,float64,4,326
PRME1A26w4,,float64,4,326
PRME1A27w4,,float64,4,326
PRME1A28w4,,float64,4,326
PRME1Ascw4,,float64,28,326
