     var                            construct                                                                     sub
YPSY4E02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.           불행하다고 생각하거나 슬퍼하고 우울해한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                           걱정이 많다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                     죽고 싶은 생각이 든다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                          울기를 잘한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E06 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오. 어떤 일이 잘못 되었을 때 나 때문이라는 생각을 자주 한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E07 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                              외롭다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E08 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 모든 일에 관심과 흥미가 없다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E09 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                장래가 희망적이지 않은 것 같다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E10 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                        모든 일이 힘들다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                       머리가 자주 아프다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                      속이 자주 메슥거린다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.               공부를 하면 배가 아플 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                     입맛이 없을 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C06 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                          자주 피곤하다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C07 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                    숨쉬기 어려울 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C08 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                자주 열이 나는 것처럼 느껴진다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4D01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                주위에 사람들이 많으면 어색하다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4D02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                       부끄럼을 많이 탄다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4E01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                        기운이 별로 없다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4B04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 별 것 아닌 일로 싸우곤 한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4B05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 하루 종일 화가 날 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4B06 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 아무 이유 없이 울 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4C01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.         깊이 잠들지 못하고 자다가 잠에서 깨곤 한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.   칭찬을 받거나 벌을 받아도 금방 다시 주의가 산만해진다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.        문제를 풀 때 문제를 끝까지 읽지 않는 편이다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.        오랫동안 집중해야 하는 과제는 하고 싶지 않다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.          연필이나 지우개 등 학용품을 잘 잃어버린다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.      주의를 기울이지 않아서 실수를 하거나 사고를 낸다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A06 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.             공부할 때 차분하게 앉아 있기 힘들다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4A07 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                글자를 잘 빠뜨리고 쓰는 편이다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4B02 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.               남이 하는 일을 방해할 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4B03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.        내가 원하는 것을 못하게 하면 따지거나 덤빈다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4D03 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.      다른 사람들에게 내 의견을 분명하게 말하기 어렵다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4D04 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                            수줍어한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4D05 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.                 사람들 앞에 나서기를 싫어한다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY4B01 다음 각 문항에 대하여 자신에게 해당되는 항목에 응답해 주십시오.              작은 일에도 트집을 잡을 때가 있다 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
