     var                            construct                                                        sub
YPSY6A22 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.           관심의 폭이 좁은 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A23 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                독창적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A24 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                예의바른 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A25 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.              심사숙고하는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A26 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 진실한 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A27 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오. 기지가 있는(재치있는, 임기응변의) / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A28 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                순종하는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A29 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.            자신감이 넘치는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A30 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.              의심이 많은 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A05 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.               확신에 찬 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A09 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.            유머감각이 있는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A10 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.           매사에 조심스러운 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A11 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.              개인주의적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A12 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 평범한 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A13 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.          격식을 차리지 않는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A14 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                보수적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A15 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.             통찰력이 있는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A16 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                관습적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A17 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 지적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A18 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.               불만에 찬 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A19 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.             관심이 다양한 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A20 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 정직한 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A21 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.          발명의 재능이 있는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A01 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 유능한 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A02 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                매력적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A03 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 영리한 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A04 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                 속물의 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A06 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.         인습에 얽매이지 않는 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A07 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.               자화자찬의 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6A08 본인을 잘 표현하는 단어를 원하는 만큼 자유롭게 선택해 주십시오.                가식적인 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
YPSY6Asc                            창의적 성격 점수              의심이 많은 / 교외 공식 동아리(청소년수련관, 사회복지관 등에서 지원하는 모임)
