var,label,n_waves,waves
HID,,7,Y1;Y2;Y3;Y4;Y5;Y6;Y7
ID,,7,Y1;Y2;Y3;Y4;Y5;Y6;Y7
PID,,7,Y1;Y2;Y3;Y4;Y5;Y6;Y7
ARA1Aw1,,1,Y1
ARA1Aw2,,1,Y2
ARA1Aw3,,1,Y3
ARA1Aw4,,1,Y4
ARA1Aw5,,1,Y5
ARA1Aw6,,1,Y6
ARA1Aw7,,1,Y7
ARA1Bw1,,1,Y1
ARA1Bw2,,1,Y2
ARA1Bw3,,1,Y3
ARA1Bw4,,1,Y4
ARA1Bw5,,1,Y5
ARA1Bw6,,1,Y6
ARA1Bw7,,1,Y7
ARA2Aw1,,1,Y1
ARA2Aw2,,1,Y2
ARA2Aw3,,1,Y3
ARA2Aw4,,1,Y4
ARA2Aw5,,1,Y5
ARA2Aw6,,1,Y6
ARA2Aw7,,1,Y7
COHORTw1,,1,Y1
COHORTw2,,1,Y2
COHORTw3,,1,Y3
COHORTw4,,1,Y4
COHORTw5,,1,Y5
COHORTw6,,1,Y6
COHORTw7,,1,Y7
SCLIDw1,,1,Y1
SCLIDw2,,1,Y2
SCLIDw3,,1,Y3
SCLIDw4,,1,Y4
SCLIDw5,,1,Y5
SCLIDw6,,1,Y6
SCLIDw7,,1,Y7
SCLTYPw4,,1,Y4
SCLTYPw5,,1,Y5
SCLTYPw6,,1,Y6
SCLTYPw7,,1,Y7
SURVEY1w2,,1,Y2
SURVEY1w3,,1,Y3
SURVEY1w4,,1,Y4
SURVEY1w5,,1,Y5
SURVEY1w6,,1,Y6
SURVEY1w7,,1,Y7
SURVEY2w2,,1,Y2
SURVEY2w3,,1,Y3
SURVEY2w4,,1,Y4
SURVEY2w5,,1,Y5
SURVEY2w6,,1,Y6
SURVEY2w7,,1,Y7
WEIGHTA1w1,,1,Y1
WEIGHTA1w2,,1,Y2
WEIGHTA1w3,,1,Y3
WEIGHTA1w4,,1,Y4
WEIGHTA1w5,,1,Y5
WEIGHTA1w6,,1,Y6
WEIGHTA1w7,,1,Y7
WEIGHTA2w1,,1,Y1
WEIGHTA2w2,,1,Y2
WEIGHTA2w3,,1,Y3
WEIGHTA2w4,,1,Y4
WEIGHTA2w5,,1,Y5
WEIGHTA2w6,,1,Y6
WEIGHTA2w7,,1,Y7
WEIGHTB1w2,,1,Y2
WEIGHTB1w3,,1,Y3
WEIGHTB1w4,,1,Y4
WEIGHTB1w5,,1,Y5
WEIGHTB1w6,,1,Y6
WEIGHTB1w7,,1,Y7
WEIGHTB2w2,,1,Y2
WEIGHTB2w3,,1,Y3
WEIGHTB2w4,,1,Y4
WEIGHTB2w5,,1,Y5
WEIGHTB2w6,,1,Y6
WEIGHTB2w7,,1,Y7
YACT1A01w1,,1,Y1
YACT1A01w2,,1,Y2
YACT1A01w3,,1,Y3
YACT1A01w4,,1,Y4
YACT1A01w5,,1,Y5
YACT1A01w6,,1,Y6
YACT1A01w7,,1,Y7
YACT1A02w1,,1,Y1
YACT1A02w2,,1,Y2
YACT1A02w3,,1,Y3
YACT1A02w4,,1,Y4
YACT1A02w5,,1,Y5
YACT1A02w6,,1,Y6
YACT1A02w7,,1,Y7
YACT1A03w1,,1,Y1
YACT1A03w2,,1,Y2
YACT1A03w3,,1,Y3
YACT1A03w4,,1,Y4
YACT1A03w5,,1,Y5
YACT1A03w6,,1,Y6
YACT1A03w7,,1,Y7
YACT1A04w1,,1,Y1
YACT1A04w2,,1,Y2
YACT1A04w3,,1,Y3
YACT1A04w4,,1,Y4
YACT1A04w5,,1,Y5
YACT1A04w6,,1,Y6
YACT1A04w7,,1,Y7
YACT1A05w1,,1,Y1
YACT1A05w2,,1,Y2
YACT1A05w3,,1,Y3
YACT1A05w4,,1,Y4
YACT1A05w5,,1,Y5
YACT1A05w6,,1,Y6
YACT1A05w7,,1,Y7
YACT1A06w1,,1,Y1
YACT1A06w2,,1,Y2
YACT1A06w3,,1,Y3
YACT1A06w4,,1,Y4
YACT1A06w5,,1,Y5
YACT1A06w6,,1,Y6
YACT1A06w7,,1,Y7
YACT1A07w1,,1,Y1
YACT1A07w2,,1,Y2
YACT1A07w3,,1,Y3
YACT1A07w4,,1,Y4
YACT1A07w5,,1,Y5
YACT1A07w6,,1,Y6
YACT1A07w7,,1,Y7
YACT1A08w1,,1,Y1
