var,label,dtype,n_unique,n_missing
ID,,float64,2590,0
HID,,float64,2579,0
PID,,float64,2,0
SCLIDw1,,float64,162,0
WEIGHTA1w1,,float64,242,0
WEIGHTA2w1,,float64,242,0
COHORTw1,,float64,1,0
ARA1Aw1,,float64,17,0
ARA2Aw1,,float64,3,0
ARA1Bw1,,float64,17,0
YTWINw1,,float64,2,0
YBRT1Aw1,,float64,3,0
YBRT1Bw1,,float64,12,0
YGENDERw1,,float64,2,0
YTIM1A01w1,,float64,6,0
YTIM1A02w1,,float64,6,0
YTIM1B01w1,,float64,11,0
YTIM1B02w1,,float64,6,0
YTIM1C01w1,,float64,4,0
YTIM1A03w1,,float64,12,0
YTIM1A04w1,,float64,6,0
YTIM1B03w1,,float64,11,0
YTIM1B04w1,,float64,6,0
YTIM1C02w1,,float64,4,0
YTIM1D01w1,,float64,7,0
YTIM1D02w1,,float64,7,0
YTIM1E01w1,,float64,7,0
YTIM1E02w1,,float64,7,0
YTIM1F01w1,,float64,7,0
YTIM1F02w1,,float64,7,0
YTIM1G01w1,,float64,7,0
YTIM1G02w1,,float64,7,0
YTIM1H01w1,,float64,7,0
YTIM1H02w1,,float64,7,0
YTIM1I01w1,,float64,7,0
YTIM1I02w1,,float64,7,0
YTIM1J01w1,,float64,7,0
YTIM1J02w1,,float64,7,0
YTIM1K01w1,,float64,7,0
YTIM1K02w1,,float64,7,0
YTIM1L01w1,,float64,7,0
YTIM1L02w1,,float64,7,0
YTIM1M01w1,,float64,7,0
YTIM1M02w1,,float64,7,0
YTIM1N01w1,,float64,7,0
YTIM1N02w1,,float64,7,0
YINT1A00w1,,float64,6,0
YINT1B00w1,,float64,6,0
YINT2A01w1,,float64,4,0
YINT2A02w1,,float64,4,0
YINT2A03w1,,float64,4,0
YINT2A04w1,,float64,4,0
YINT2A05w1,,float64,4,0
YINT2A06w1,,float64,4,0
YINT2A07w1,,float64,4,0
YINT2A08w1,,float64,4,0
YINT2A09w1,,float64,4,0
YINT2A10w1,,float64,4,0
YINT2A11w1,,float64,4,0
YINT2A12w1,,float64,4,0
YINT2A13w1,,float64,4,0
YINT2A14w1,,float64,4,0
YINT2A15w1,,float64,4,0
YINT2A16w1,,float64,4,0
YINT2B01w1,,float64,4,0
YINT2B02w1,,float64,4,0
YINT2B03w1,,float64,4,0
YINT2B04w1,,float64,4,0
YINT2B05w1,,float64,4,0
YINT2B06w1,,float64,4,0
YINT2B07w1,,float64,4,0
YINT2B08w1,,float64,4,0
YINT2B09w1,,float64,4,0
YINT2B10w1,,float64,4,0
YINT2B11w1,,float64,4,0
YINT2B12w1,,float64,4,0
YINT2B13w1,,float64,4,0
YINT2B14w1,,float64,4,0
YINT2B15w1,,float64,4,0
YINT2B16w1,,float64,4,0
YFUR1A00w1,,float64,5,0
YFUR1B00w1,,float64,3,0
YFUR2A01w1,,float64,5,0
YFUR2A02w1,,float64,5,0
YFUR2A03w1,,float64,5,0
YFUR2A04w1,,float64,5,0
YFUR2A05w1,,float64,5,0
YFUR2A06w1,,float64,5,0
YFUR2A07w1,,float64,5,0
YFUR2A08w1,,float64,4,0
YFUR2A08_Tw1,,object,6,0
YPSY1A01w1,,float64,4,0
YPSY1A02w1,,float64,4,0
YPSY1A03w1,,float64,4,0
YPSY1A04w1,,float64,4,0
YPSY1A05w1,,float64,4,0
YPSY2A01w1,,float64,4,0
YPSY2A02w1,,float64,4,0
YPSY2A03w1,,float64,4,0
YPSY2A04w1,,float64,4,0
YPSY3A01w1,,float64,4,0
YPSY3A02w1,,float64,4,0
YPSY3A03w1,,float64,4,0
YPSY3A04w1,,float64,4,0
YPSY3A05w1,,float64,4,0
YPSY3A06w1,,float64,4,0
YPSY3A07w1,,float64,4,0
YPSY3A08w1,,float64,4,0
YPSY3A09w1,,float64,4,0
YPSY3A10w1,,float64,4,0
YPSY4A01w1,,float64,4,0
YPSY4A02w1,,float64,4,0
YPSY4A03w1,,float64,4,0
YPSY4A04w1,,float64,4,0
YPSY4A05w1,,float64,4,0
YPSY4A06w1,,float64,4,0
YPSY4A07w1,,float64,4,0
YPSY4B01w1,,float64,4,0
YPSY4B02w1,,float64,4,0
YPSY4B03w1,,float64,4,0
YPSY4B04w1,,float64,4,0
YPSY4B05w1,,float64,4,0
YPSY4B06w1,,float64,4,0
YPSY4C01w1,,float64,4,0
YPSY4C02w1,,float64,4,0
YPSY4C03w1,,float64,4,0
YPSY4C04w1,,float64,4,0
YPSY4C05w1,,float64,4,0
YPSY4C06w1,,float64,4,0
YPSY4C07w1,,float64,4,0
YPSY4C08w1,,float64,4,0
YPSY4D01w1,,float64,4,0
YPSY4D02w1,,float64,4,0
YPSY4D03w1,,float64,4,0
YPSY4D04w1,,float64,4,0
YPSY4D05w1,,float64,4,0
YPSY4E01w1,,float64,4,0
YPSY4E02w1,,float64,4,0
YPSY4E03w1,,float64,4,0
YPSY4E04w1,,float64,4,0
YPSY4E05w1,,float64,4,0
YPSY4E06w1,,float64,4,0
YPSY4E07w1,,float64,4,0
YPSY4E08w1,,float64,4,0
YPSY4E09w1,,float64,4,0
YPSY4E10w1,,float64,4,0
YPSY5A01w1,,float64,4,0
YPSY5A02w1,,float64,4,0
YPSY5A03w1,,float64,4,0
YPSY5A04w1,,float64,4,0
YPSY5A05w1,,float64,4,0
YPSY5A06w1,,float64,4,0
YPSY5A07w1,,float64,4,0
YPSY5A08w1,,float64,4,0
YPSY5A09w1,,float64,4,0
YPSY5A10w1,,float64,4,0
YPSY5A11w1,,float64,4,0
YPSY5A12w1,,float64,4,0
YPSY5A13w1,,float64,4,0
YPSY5A14w1,,float64,4,0
YPSY6A01w1,,float64,2,0
YPSY6A02w1,,float64,2,0
