scale,between_var,within_var,icc,n_obs
self_esteem,0.07267899087505937,0.12200053172996579,0.37332632576110164,16226
depression,0.0,0.192603106610903,0.0,16226
life_sat,0.0,0.16766680460782113,0.0,16226
parent_warmth,0.0,0.1830707223567395,0.0,16226
parent_reject,0.0,0.23331555873505075,0.0,16226
peer_attach,0.0,0.1008122924446264,0.0,16226
teacher_rel,0.0,0.13468035773860268,0.0,14193
sm_addiction,0.0,0.11524545849888324,0.0,16061
aggression,0.0,0.19376421600997845,0.0,16226
somatic,0.0,0.18780613489617684,0.0,16226
withdrawal,0.0,0.26167829774744994,0.0,16226
attention,0.0,0.17170432196651522,0.0,16226
happy,0.0,0.11155814806662244,0.0,16226
grit,0.0,0.08316115910925267,0.0,16226
