var,F,p,C1,C2,C3,C4
depression_w1,738.5603393640685,0.0,1.4618002195389679,1.4619124797406806,2.3588323353293412,2.3863281250000004
self_esteem_w1,278.7242600118189,1.2580019158982553e-155,3.1549945115257962,3.2286871961102106,2.6964071856287424,2.58828125
somatic_w1,255.55555048738054,2.861228247100404e-144,1.6368002195389681,1.6274311183144246,2.2239895209580838,2.28564453125
aggression_w1,220.44129019879455,1.390085249053343e-126,1.7047200878155873,1.7244732576985413,2.2714570858283434,2.272786458333333
happy_w1,199.04876450390958,1.630122309169492e-115,4.030186608122942,4.105348460291734,3.6100299401197606,3.46875
withdrawal_w1,153.13610354293476,5.896022403963728e-91,1.9565312843029639,1.885899513776337,2.511676646706587,2.6023437499999997
life_sat_w1,138.80529115054892,4.696572406750254e-83,2.9126234906695934,2.9980551053484605,2.501497005988024,2.41796875
grit_w1,138.3137685436862,8.807365342368585e-83,3.264681668496158,3.315235008103728,2.9543413173652695,2.9228515625
attention_w1,89.9872723194416,3.0754946789598583e-55,2.041085149756939,2.020375086825654,2.4020530367835753,2.3861607142857144
parent_chaos_w1,82.18488070917567,1.1695790738716085e-50,1.9119099890230515,1.8658833063209077,2.2739520958083834,2.328125
sm_addiction_w1,78.03407196700631,3.638686744030748e-48,1.9467566554180729,1.903789126853377,2.2186423505572446,2.2484126984126984
peer_attach_w1,76.55837865483338,2.4805717473509094e-47,3.2021447268428602,3.2493454681461165,2.9766236757254725,2.9314903846153846
parent_autonomy_w1,76.32076787243558,3.43140436490677e-47,3.4700878155872665,3.488249594813614,3.1324850299401197,3.1171875
parent_warmth_w1,73.54582343087823,1.5270448860774963e-45,3.4777716794731064,3.521069692058347,3.1770209580838324,3.1044921875
parent_reject_w1,71.68598400822582,1.9559804479418255e-44,1.6462678375411635,1.6041329011345218,1.9973802395209581,1.986328125
parent_coerce_w1,38.19770350843256,4.043244707800589e-24,2.0823271130625685,2.0522690437601296,2.3637724550898205,2.3232421875
parent_structure_w1,37.89479313458799,6.2179255182749096e-24,3.1517563117453347,3.1426256077795784,2.9277694610778444,2.8779296875
