Construct (W1),C1 Stable-Low,C2 Persistent-High,C3 Decreasing,C4 Late-Increasing,F,p,η²
Depression (9-item primary),1.50 (0.53),2.41 (0.56),2.35 (0.48),1.46 (0.40),687.0,<.001,0.457
Self-esteem,3.22 (0.47),2.60 (0.48),2.71 (0.43),3.17 (0.41),267.9,<.001,0.247
Aggression,1.73 (0.57),2.27 (0.53),2.25 (0.49),1.68 (0.51),219.8,<.001,0.212
Social withdrawal,1.89 (0.73),2.59 (0.70),2.51 (0.63),1.93 (0.69),160.0,<.001,0.164
Somatic symptoms,1.63 (0.56),2.27 (0.56),2.21 (0.53),1.62 (0.49),253.7,<.001,0.237
Attention problems,2.03 (0.60),2.39 (0.44),2.38 (0.48),2.03 (0.55),84.2,<.001,0.094
Life satisfaction,2.99 (0.57),2.44 (0.56),2.51 (0.57),2.93 (0.55),135.3,<.001,0.142
Subjective happiness,4.10 (0.47),3.48 (0.56),3.62 (0.52),4.04 (0.46),192.4,<.001,0.191
Grit,3.31 (0.46),2.93 (0.38),2.96 (0.35),3.27 (0.41),132.6,<.001,0.140
Peer attachment,3.25 (0.43),2.93 (0.40),2.98 (0.40),3.21 (0.41),77.1,<.001,0.086
Teacher relationship,2.91 (0.52),2.58 (0.41),2.67 (0.44),2.90 (0.50),58.1,<.001,0.066
Smartphone dependence,1.91 (0.48),2.25 (0.50),2.21 (0.45),1.93 (0.46),77.7,<.001,0.089
Parental warmth,3.52 (0.54),3.10 (0.57),3.19 (0.59),3.48 (0.53),71.3,<.001,0.080
Parental rejection,1.61 (0.63),1.99 (0.55),1.98 (0.58),1.64 (0.61),68.2,<.001,0.077
Parental coercion,2.05 (0.70),2.34 (0.61),2.35 (0.61),2.07 (0.62),39.5,<.001,0.046
Parental chaos,1.87 (0.66),2.33 (0.59),2.27 (0.58),1.90 (0.61),83.5,<.001,0.093
Parental autonomy,3.48 (0.56),3.10 (0.56),3.16 (0.59),3.47 (0.52),71.4,<.001,0.080
Parental structure,3.15 (0.54),2.88 (0.53),2.94 (0.49),3.15 (0.56),36.8,<.001,0.043
