Variable,Overall,C1 Late-Increasing,C2 Stable-Low,C3 Decreasing,C4 Persistent-High
N,2590,911 (35.2%),617 (23.8%),668 (25.8%),256 (9.9%)
"Female, %",45.8,41.3,40.0,52.8,61.3
"Depression W1, M (SD)","1.80 (0.64) [F=738.6, η²=0.475***]",1.46 (0.39),1.46 (0.48),2.36 (0.49),2.39 (0.55)
"Aggression W1, M (SD)","1.92 (0.59) [F=220.4, η²=0.213***]",1.70 (0.51),1.72 (0.56),2.27 (0.49),2.27 (0.53)
"Social withdrawal W1, M (SD)","2.15 (0.75) [F=153.1, η²=0.158***]",1.96 (0.70),1.89 (0.73),2.51 (0.62),2.60 (0.70)
"Somatic symptoms W1, M (SD)","1.86 (0.61) [F=255.6, η²=0.238***]",1.64 (0.50),1.63 (0.55),2.22 (0.53),2.29 (0.57)
"Attention problems W1, M (SD)","2.17 (0.56) [F=90.0, η²=0.099***]",2.04 (0.56),2.02 (0.59),2.40 (0.47),2.39 (0.46)
"Self-esteem W1, M (SD)","2.99 (0.50) [F=278.7, η²=0.255***]",3.15 (0.41),3.23 (0.46),2.70 (0.43),2.59 (0.47)
"Life satisfaction W1, M (SD)","2.78 (0.60) [F=138.8, η²=0.145***]",2.91 (0.55),3.00 (0.57),2.50 (0.56),2.42 (0.56)
"Subjective happiness W1, M (SD)","3.88 (0.55) [F=199.0, η²=0.196***]",4.03 (0.46),4.11 (0.47),3.61 (0.53),3.47 (0.54)
"Grit W1, M (SD)","3.16 (0.44) [F=138.3, η²=0.145***]",3.26 (0.41),3.32 (0.46),2.95 (0.35),2.92 (0.38)
"Parental warmth W1, M (SD)","3.37 (0.58) [F=73.5, η²=0.083***]",3.48 (0.53),3.52 (0.53),3.18 (0.59),3.10 (0.58)
"Parental rejection W1, M (SD)","1.77 (0.62) [F=71.7, η²=0.081***]",1.65 (0.61),1.60 (0.63),2.00 (0.56),1.99 (0.58)
"Parental coercion W1, M (SD)","2.18 (0.65) [F=38.2, η²=0.045***]",2.08 (0.62),2.05 (0.70),2.36 (0.61),2.32 (0.61)
"Parental chaos W1, M (SD)","2.04 (0.64) [F=82.2, η²=0.092***]",1.91 (0.61),1.87 (0.65),2.27 (0.57),2.33 (0.59)
"Parental autonomy support W1, M (SD)","3.35 (0.58) [F=76.3, η²=0.086***]",3.47 (0.52),3.49 (0.55),3.13 (0.59),3.12 (0.58)
"Parental structure W1, M (SD)","3.06 (0.54) [F=37.9, η²=0.044***]",3.15 (0.55),3.14 (0.54),2.93 (0.49),2.88 (0.54)
"Peer attachment W1, M (SD)","3.13 (0.43) [F=76.6, η²=0.086***]",3.20 (0.41),3.25 (0.43),2.98 (0.41),2.93 (0.40)
"Teacher relationship W1, M (SD)","2.81 (0.50) [F=59.2, η²=0.068***]",2.89 (0.50),2.91 (0.51),2.66 (0.44),2.58 (0.42)
"Smartphone dependence W1, M (SD)","2.04 (0.49) [F=78.0, η²=0.089***]",1.95 (0.46),1.90 (0.48),2.22 (0.46),2.25 (0.49)
