Construct (W1),C1 Late-Increasing,C2 Stable-Low,C3 Decreasing,C4 Persistent-High,F,p,η²
Depression,1.46 (0.39),1.46 (0.48),2.36 (0.49),2.39 (0.55),738.6,<.001,0.475
Self-esteem,3.15 (0.41),3.23 (0.46),2.70 (0.43),2.59 (0.47),278.7,<.001,0.255
Aggression,1.70 (0.51),1.72 (0.56),2.27 (0.49),2.27 (0.53),220.4,<.001,0.213
Social withdrawal,1.96 (0.70),1.89 (0.73),2.51 (0.62),2.60 (0.70),153.1,<.001,0.158
Somatic symptoms,1.64 (0.50),1.63 (0.55),2.22 (0.53),2.29 (0.57),255.6,<.001,0.238
Attention problems,2.04 (0.56),2.02 (0.59),2.40 (0.47),2.39 (0.46),90.0,<.001,0.099
Life satisfaction,2.91 (0.55),3.00 (0.57),2.50 (0.56),2.42 (0.56),138.8,<.001,0.145
Subjective happiness,4.03 (0.46),4.11 (0.47),3.61 (0.53),3.47 (0.54),199.0,<.001,0.196
Grit,3.26 (0.41),3.32 (0.46),2.95 (0.35),2.92 (0.38),138.3,<.001,0.145
Peer attachment,3.20 (0.41),3.25 (0.43),2.98 (0.41),2.93 (0.40),76.6,<.001,0.086
Teacher relationship,2.89 (0.50),2.91 (0.51),2.66 (0.44),2.58 (0.42),59.2,<.001,0.068
Smartphone dependence,1.95 (0.46),1.90 (0.48),2.22 (0.46),2.25 (0.49),78.0,<.001,0.089
Parental warmth,3.48 (0.53),3.52 (0.53),3.18 (0.59),3.10 (0.58),73.5,<.001,0.083
Parental rejection,1.65 (0.61),1.60 (0.63),2.00 (0.56),1.99 (0.58),71.7,<.001,0.081
Parental coercion,2.08 (0.62),2.05 (0.70),2.36 (0.61),2.32 (0.61),38.2,<.001,0.045
Parental chaos,1.91 (0.61),1.87 (0.65),2.27 (0.57),2.33 (0.59),82.2,<.001,0.092
Parental autonomy support,3.47 (0.52),3.49 (0.55),3.13 (0.59),3.12 (0.58),76.3,<.001,0.086
Parental structure,3.15 (0.55),3.14 (0.54),2.93 (0.49),2.88 (0.54),37.9,<.001,0.044
