lval,op,rval,Estimate,Std. Err,z-value,p-value
wx2,~,wx1,0.3106572768090687,0.008857415038166293,35.07313086666755,0.0
wx3,~,wx2,0.3106572768090687,0.008857415038166293,35.07313086666755,0.0
wx4,~,wx3,0.3106572768090687,0.008857415038166293,35.07313086666755,0.0
wx5,~,wx4,0.3106572768090687,0.008857415038166293,35.07313086666755,0.0
wx6,~,wx5,0.3106572768090687,0.008857415038166293,35.07313086666755,0.0
wx7,~,wx6,0.3106572768090687,0.008857415038166293,35.07313086666755,0.0
wx2,~,wy1,0.004445766848111877,0.005289510670621911,0.8404873577367565,0.4006351870064786
wx3,~,wy2,0.004445766848111877,0.005289510670621911,0.8404873577367565,0.4006351870064786
wx4,~,wy3,0.004445766848111877,0.005289510670621911,0.8404873577367565,0.4006351870064786
wx5,~,wy4,0.004445766848111877,0.005289510670621911,0.8404873577367565,0.4006351870064786
wx6,~,wy5,0.004445766848111877,0.005289510670621911,0.8404873577367565,0.4006351870064786
wx7,~,wy6,0.004445766848111877,0.005289510670621911,0.8404873577367565,0.4006351870064786
wy2,~,wy1,0.8722446488957416,0.01958254068675542,44.54195514278386,0.0
wy3,~,wy2,0.8722446488957416,0.01958254068675542,44.54195514278386,0.0
wy4,~,wy3,0.8722446488957416,0.01958254068675542,44.54195514278386,0.0
wy5,~,wy4,0.8722446488957416,0.01958254068675542,44.54195514278386,0.0
wy6,~,wy5,0.8722446488957416,0.01958254068675542,44.54195514278386,0.0
wy7,~,wy6,0.8722446488957416,0.01958254068675542,44.54195514278386,0.0
wy2,~,wx1,-0.03914482699276524,0.015704033256720294,-2.492660729276103,0.012678993098003799
wy3,~,wx2,-0.03914482699276524,0.015704033256720294,-2.492660729276103,0.012678993098003799
wy4,~,wx3,-0.03914482699276524,0.015704033256720294,-2.492660729276103,0.012678993098003799
wy5,~,wx4,-0.03914482699276524,0.015704033256720294,-2.492660729276103,0.012678993098003799
wy6,~,wx5,-0.03914482699276524,0.015704033256720294,-2.492660729276103,0.012678993098003799
wy7,~,wx6,-0.03914482699276524,0.015704033256720294,-2.492660729276103,0.012678993098003799
X1,~,RIx,1.0,-,-,-
X1,~,wx1,1.0,-,-,-
X2,~,RIx,1.0,-,-,-
X2,~,wx2,1.0,-,-,-
X3,~,RIx,1.0,-,-,-
X3,~,wx3,1.0,-,-,-
X4,~,RIx,1.0,-,-,-
X4,~,wx4,1.0,-,-,-
X5,~,RIx,1.0,-,-,-
X5,~,wx5,1.0,-,-,-
X6,~,RIx,1.0,-,-,-
X6,~,wx6,1.0,-,-,-
X7,~,RIx,1.0,-,-,-
X7,~,wx7,1.0,-,-,-
Y1,~,RIy,1.0,-,-,-
Y1,~,wy1,1.0,-,-,-
Y2,~,RIy,1.0,-,-,-
Y2,~,wy2,1.0,-,-,-
Y3,~,RIy,1.0,-,-,-
Y3,~,wy3,1.0,-,-,-
Y4,~,RIy,1.0,-,-,-
Y4,~,wy4,1.0,-,-,-
Y5,~,RIy,1.0,-,-,-
Y5,~,wy5,1.0,-,-,-
Y6,~,RIy,1.0,-,-,-
Y6,~,wy6,1.0,-,-,-
Y7,~,RIy,1.0,-,-,-
Y7,~,wy7,1.0,-,-,-
RIx,~~,RIy,-0.0012052849364323256,0.041047030466066906,-0.02936351114118613,0.9765746741388084
RIx,~~,RIx,0.11579800055667258,0.0059922226358062325,19.324715981913386,0.0
RIx,~~,wy1,0.17587027841885727,0.03915176067630509,4.492014544847868,7.055260387911488e-06
wx2,~~,wy2,0.00908676224666991,0.011226662654745508,0.8093912256301338,0.41829014763970873
