lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
wx2,~,wx1,0.2381803290057658,0.26798567471207463,0.011418788875441357,20.858633221353877,0.0
wx3,~,wx2,0.2381803290057658,0.24362977744626116,0.011418788875441357,20.858633221353877,0.0
wx4,~,wx3,0.2381803290057658,0.23845281443542654,0.011418788875441357,20.858633221353877,0.0
wx5,~,wx4,0.2381803290057658,0.24418268532264545,0.011418788875441357,20.858633221353877,0.0
wx6,~,wx5,0.2381803290057658,0.24692058693669217,0.011418788875441357,20.858633221353877,0.0
wx7,~,wx6,0.2381803290057658,0.22037763171177324,0.011418788875441357,20.858633221353877,0.0
wx2,~,wy1,0.02771781128999604,0.032192687514398334,0.009750097656450962,2.842823965851692,0.004471576040205427
wx3,~,wy2,0.02771781128999604,0.02937405529541848,0.009750097656450962,2.842823965851692,0.004471576040205427
wx4,~,wy3,0.02771781128999604,0.028091007796123887,0.009750097656450962,2.842823965851692,0.004471576040205427
wx5,~,wy4,0.02771781128999604,0.028368716711382233,0.009750097656450962,2.842823965851692,0.004471576040205427
wx6,~,wy5,0.02771781128999604,0.030663172635885326,0.009750097656450962,2.842823965851692,0.004471576040205427
wx7,~,wy6,0.02771781128999604,0.027833783568853448,0.009750097656450962,2.842823965851692,0.004471576040205427
wy2,~,wy1,0.19555467649462815,0.21922294603915404,0.011266483601578092,17.35720597417633,0.0
wy3,~,wy2,0.19555467649462815,0.2047205104908438,0.011266483601578092,17.35720597417633,0.0
wy4,~,wy3,0.19555467649462815,0.19852024867826587,0.011266483601578092,17.35720597417633,0.0
wy5,~,wy4,0.19555467649462815,0.18756086124801485,0.011266483601578092,17.35720597417633,0.0
wy6,~,wy5,0.19555467649462815,0.19933091903666975,0.011266483601578092,17.35720597417633,0.0
wy7,~,wy6,0.19555467649462815,0.18786308826306197,0.011266483601578092,17.35720597417633,0.0
wy2,~,wx1,0.06494119254494772,0.0705253826470719,0.010692019080945034,6.073800658905481,1.2491778722534264e-09
wy3,~,wx2,0.06494119254494772,0.06561949933155063,0.010692019080945034,6.073800658905481,1.2491778722534264e-09
wy4,~,wx3,0.06494119254494772,0.06512459555592776,0.010692019080945034,6.073800658905481,1.2491778722534264e-09
wy5,~,wx4,0.06494119254494772,0.062391077995503155,0.010692019080945034,6.073800658905481,1.2491778722534264e-09
wy6,~,wx5,0.06494119254494772,0.06203259907265486,0.010692019080945034,6.073800658905481,1.2491778722534264e-09
wy7,~,wx6,0.06494119254494772,0.05748331682860451,0.010692019080945034,6.073800658905481,1.2491778722534264e-09
X1,~,RIx,1.0,0.5874833392534159,-,-,-
X1,~,wx1,1.0,0.9453832476296944,-,-,-
X2,~,RIx,1.0,0.5900396467044098,-,-,-
X2,~,wx2,1.0,0.8438939111706402,-,-,-
X3,~,RIx,1.0,0.5861154195570527,-,-,-
X3,~,wx3,1.0,0.8195308912120658,-,-,-
X4,~,RIx,1.0,0.5832886117875546,-,-,-
X4,~,wx4,1.0,0.8146463515110582,-,-,-
X5,~,RIx,1.0,0.5920444469349053,-,-,-
X5,~,wx5,1.0,0.8065493711700341,-,-,-
X6,~,RIx,1.0,0.6056649296334525,-,-,-
X6,~,wx6,1.0,0.795898455940909,-,-,-
X7,~,RIx,1.0,0.5757313327893432,-,-,-
X7,~,wx7,1.0,0.8176801969160222,-,-,-
Y1,~,RIy,1.0,0.5409966707480653,-,-,-
Y1,~,wy1,1.0,0.975148051791836,-,-,-
Y2,~,RIy,1.0,0.5432132483292844,-,-,-
Y2,~,wy2,1.0,0.8734308244767424,-,-,-
Y3,~,RIy,1.0,0.5495599654609967,-,-,-
Y3,~,wy3,1.0,0.8440731764717647,-,-,-
Y4,~,RIy,1.0,0.5524048700455081,-,-,-
Y4,~,wy4,1.0,0.8357683215735613,-,-,-
Y5,~,RIy,1.0,0.5356501545558879,-,-,-
Y5,~,wy5,1.0,0.8449589872586933,-,-,-
Y6,~,RIy,1.0,0.5427926370266641,-,-,-
Y6,~,wy6,1.0,0.8400050169231841,-,-,-
Y7,~,RIy,1.0,0.5274224496043242,-,-,-
Y7,~,wy7,1.0,0.8496367564013911,-,-,-
wx2,~~,wy2,0.23496102999662336,0.3218557094782721,0.016813139829795258,13.974845410270389,0.0
wx2,~~,wx2,0.6486734915364872,0.9206022406633901,0.02158405684074014,30.05336282667935,0.0
wx3,~~,wy3,0.15590096437280856,0.22868190915882347,0.015610214751108574,9.987112083243442,0.0
wx3,~~,wx3,0.6293200530950452,0.9344722367327372,0.021020010182200174,29.939093635550037,0.0
wx4,~~,wy4,0.19466273589026067,0.29020106160489034,0.015691339352149457,12.40574379975979,0.0
wx4,~~,wx4,0.6307470500038502,0.9387353753736578,0.02107820864399305,29.924129731663836,0.0
wx5,~~,wy5,0.12478912875501967,0.1829262002561885,0.015538216654350127,8.03111010246161,8.881784197001252e-16
wx5,~~,wx5,0.5977777217786694,0.9350732452228603,0.020111847499828223,29.722665794579658,0.0
wx6,~~,wy6,0.1485539658398138,0.23011306859475247,0.014870444202284006,9.989880854198491,0.0
wx6,~~,wx6,0.5560301312796492,0.9347749196987928,0.018796938313476615,29.5808882264309,0.0
wx7,~~,wy7,0.22162986651785058,0.30515478928300593,0.016795737263358264,13.195602135796966,0.0
wx7,~~,wx7,0.6582908528928867,0.9474357912872312,0.021611922555694645,30.459615574042044,0.0
RIx,~~,RIy,0.15410913962992487,0.48546575114587687,0.012078407071261076,12.759061580549599,0.0
RIx,~~,RIx,0.34446159227500855,1.0,0.016343266527986688,21.07666736414448,0.0
RIx,~~,wx1,-0.11920945071197654,-0.21505895667217403,0.01721487797883041,-6.924792081108374,4.366063066640891e-12
RIx,~~,wy1,-0.051928713999676405,-0.09075316988451393,0.016574761146688988,-3.1329992352207627,0.0017302989301539728
RIy,~~,RIy,0.2925491185075295,1.0,0.014918465200282234,19.609867004441252,0.0
wx1,~~,wx1,0.8920013256896773,1.0,0.03186302793496647,27.99487002560735,0.0
wx1,~~,RIy,-0.07583995351849458,-0.14846220663877754,0.015491308721650958,-4.895645350324955,9.798363693747092e-07
wy1,~~,wy1,0.9504969414914819,1.0000000000000002,0.033660622144391264,28.237652215279148,0.0
wy1,~~,RIy,-0.12174217786323327,-0.2308693646909534,0.016935452338406515,-7.188599124686835,6.545874953189923e-13
wy1,~~,wx1,0.34927981592503127,0.3793284161797443,0.02476769656688612,14.102232517573261,0.0
wy2,~~,wy2,0.7073547604540795,0.9352380423173186,0.023405686384875037,30.2214918542597,0.0
wy3,~~,wy3,0.6513532359994505,0.9438169183762747,0.021774314507961294,29.913834290001823,0.0
wy4,~~,wy4,0.6357567333617684,0.9493696859395065,0.021301724960128908,29.845316964794566,0.0
wy5,~~,wy5,0.6939875220858068,0.9533317956996415,0.02298814150651177,30.18893553700435,0.0
wy6,~~,wy6,0.6663118699516524,0.9510052009575171,0.022108821945383907,30.13782785747359,0.0
wy7,~~,wy7,0.7255757191965985,0.9557286068824326,0.023679353884632253,30.641702586186305,0.0
X1,~~,X1,0.0,0.0,-,-,-
Y1,~~,Y1,0.0,0.0,-,-,-
X2,~~,X2,0.0,0.0,-,-,-
Y2,~~,Y2,0.0,0.0,-,-,-
X3,~~,X3,0.0,0.0,-,-,-
Y3,~~,Y3,0.0,0.0,-,-,-
X4,~~,X4,0.0,0.0,-,-,-
Y4,~~,Y4,0.0,0.0,-,-,-
X5,~~,X5,0.0,0.0,-,-,-
Y5,~~,Y5,0.0,0.0,-,-,-
X6,~~,X6,0.0,0.0,-,-,-
Y6,~~,Y6,0.0,0.0,-,-,-
X7,~~,X7,0.0,0.0,-,-,-
Y7,~~,Y7,0.0,0.0,-,-,-
