lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
wx2,~,wx1,0.23808686309687838,0.2680653744910688,0.02305846769655068,10.325354929034095,0.0
wx2,~,wy1,0.0762691360766454,0.08885847894226494,0.021626142942414675,3.526710069206767,0.00042075723584411584
wy2,~,wy1,0.21183698277643956,0.23762786592934987,0.023161784583289474,9.145969819619493,0.0
wy2,~,wx1,0.057768206604196994,0.0626238423453221,0.023889346608186767,2.4181576645542053,0.01559931612013199
wx3,~,wx2,0.21393790421865677,0.22339750441572737,0.025910164735758977,8.256910227789529,2.220446049250313e-16
wx3,~,wy2,0.0282758499892728,0.03066625278687875,0.024035288037784232,1.1764306690914559,0.2394228222232604
wy3,~,wy2,0.20792776281037972,0.21721014692901167,0.02497244611853855,8.326287373494267,0.0
wy3,~,wx2,0.07990332402379424,0.08036704738305395,0.025957612311657993,3.0782231840649734,0.0020823889414522956
wx4,~,wx3,0.15729625633523717,0.1625870133141037,0.026723917232668863,5.8859730390521925,3.957188132730494e-09
wx4,~,wy3,0.002785067105879977,0.002988687756667143,0.02451965710271554,0.1135850756027884,0.9095667187197001
wy4,~,wy3,0.21659827476744212,0.22475080111425347,0.025206831679247258,8.592840128225012,0.0
wy4,~,wx3,-0.02862013177937196,-0.028604902422652203,0.026028457771864213,-1.0995707862956705,0.2715191763208269
wx5,~,wx4,0.13619538259888775,0.13745935441311016,0.028533149273171774,4.773233451737201,1.8129143788403468e-06
wx5,~,wy4,-0.009449990367646068,-0.009863746604671311,0.02625383093445079,-0.3599471022297801,0.718886692015229
wy5,~,wy4,0.1650996154137336,0.16056471511734324,0.02820369382371974,5.853829517502011,4.803810460529689e-09
wy5,~,wx4,-0.046434183909524904,-0.043665983205188906,0.028682287640777456,-1.6189149376596712,0.10546556641539673
wx6,~,wx5,0.33030577449808246,0.32139926476763375,0.026153018153389006,12.629738279084645,0.0
wx6,~,wy5,-0.031618197746736895,-0.033019638448180975,0.02318025244516996,-1.36401438337058,0.1725630388321555
wy6,~,wy5,0.1641429919245749,0.16300302885941886,0.02590898320217117,6.335369884545851,2.367726015251037e-10
wy6,~,wx5,0.13638552924493727,0.12619296159277102,0.02757402497803431,4.946159632068112,7.569189544032184e-07
