outcome,model,fold,auc,ap,brier
suicidal_ideation_w7,LogisticL1,0,0.5521435452793835,0.3803048676262621,0.22422047187498817
suicidal_ideation_w7,LogisticL1,1,0.586811323366556,0.42288841766616314,0.21970153177865462
suicidal_ideation_w7,LogisticL1,2,0.5433970099667774,0.35921974275389695,0.2241195561083641
suicidal_ideation_w7,LogisticL1,3,0.5331895436114227,0.3740612991449752,0.22461787102595493
suicidal_ideation_w7,LogisticL1,4,0.5604520748856872,0.38864933796361134,0.22340603211317764
suicidal_ideation_w7,RandomForest,0,0.5843827415359208,0.4109882091750755,0.21976824450112784
suicidal_ideation_w7,RandomForest,1,0.5931789867109635,0.4102134069296948,0.21912232559123646
suicidal_ideation_w7,RandomForest,2,0.5628633720930233,0.3951361961203702,0.2214341675034538
suicidal_ideation_w7,RandomForest,3,0.6124751962729704,0.46577271771851897,0.2167002888994455
suicidal_ideation_w7,RandomForest,4,0.6051074109222673,0.43024544033704337,0.21817916012876934
suicidal_ideation_w7,GradientBoosting,0,0.5927091935039912,0.4236301797586599,0.22791980197348616
suicidal_ideation_w7,GradientBoosting,1,0.5565649224806202,0.38234225322419163,0.23849577731394606
suicidal_ideation_w7,GradientBoosting,2,0.5482419712070875,0.38483995014827044,0.23663224720696285
suicidal_ideation_w7,GradientBoosting,3,0.554671728064878,0.39834455135778496,0.23600957938577893
suicidal_ideation_w7,GradientBoosting,4,0.5697351393322405,0.3851665063218219,0.23413821068669757
suicidal_ideation_w7,LightGBM,0,0.5867052023121387,0.4178132963533061,0.2542713783467443
suicidal_ideation_w7,LightGBM,1,0.5748719545957918,0.4033452892424926,0.2577147805765964
suicidal_ideation_w7,LightGBM,2,0.5685215946843853,0.3890739489532,0.2596832795304389
suicidal_ideation_w7,LightGBM,3,0.5914416357518764,0.4301872328705473,0.25168002105471776
suicidal_ideation_w7,LightGBM,4,0.5917004572513156,0.40365123591423235,0.2555056543335199
suicidal_ideation_w7,XGBoost,0,0.5965455546380402,0.4295593805940747,0.22693990760184665
suicidal_ideation_w7,XGBoost,1,0.5757544296788483,0.4078230679505609,0.2321147049087058
suicidal_ideation_w7,XGBoost,2,0.5441929678848283,0.38609475554767225,0.24024339367622355
suicidal_ideation_w7,XGBoost,3,0.5747735311879907,0.4149263190212016,0.2307288670160736
suicidal_ideation_w7,XGBoost,4,0.5938055387800879,0.3923674280863497,0.23130598145927178
high_depression_w7,LogisticL1,0,0.5410227093518373,0.30680731026541896,0.1968689448030536
high_depression_w7,LogisticL1,1,0.5797853415559773,0.3260226236123076,0.19415461413834675
high_depression_w7,LogisticL1,2,0.5390180265654649,0.2925056365560751,0.19777798230087287
high_depression_w7,LogisticL1,3,0.5941848513598988,0.3593251046265743,0.19226951954817584
high_depression_w7,LogisticL1,4,0.5287990196078431,0.3022524444714973,0.19849934056687035
high_depression_w7,RandomForest,0,0.5532644693266047,0.29778774095892435,0.1943360471354489
high_depression_w7,RandomForest,1,0.5623418722327641,0.3136052097498893,0.19446810909893575
high_depression_w7,RandomForest,2,0.5573806135357369,0.2997071118378092,0.19533311443452786
high_depression_w7,RandomForest,3,0.5882352941176471,0.3520986468227768,0.19199267420248184
high_depression_w7,RandomForest,4,0.5246283997469956,0.32080244763592103,0.1962415416865952
high_depression_w7,GradientBoosting,0,0.5550189244598644,0.2967677991915373,0.20539572394025118
high_depression_w7,GradientBoosting,1,0.561294275774826,0.3141183385884063,0.2088536024423325
high_depression_w7,GradientBoosting,2,0.5590607210626186,0.2884948442785201,0.21077650922878374
high_depression_w7,GradientBoosting,3,0.5999367488931057,0.32756847680607865,0.2008370767890547
high_depression_w7,GradientBoosting,4,0.5580131246046806,0.3270728305421706,0.2040125302926289
high_depression_w7,LightGBM,0,0.550958050780634,0.29073552579504286,0.23790793501616
high_depression_w7,LightGBM,1,0.5292338709677419,0.3030244381125923,0.23698277948058932
high_depression_w7,LightGBM,2,0.558309614168248,0.29071242413527354,0.23472069878018206
high_depression_w7,LightGBM,3,0.5623616382036686,0.32642015370959776,0.22496664927312696
high_depression_w7,LightGBM,4,0.5502450980392157,0.32217433077836216,0.22881337627547058
high_depression_w7,XGBoost,0,0.5791081848288913,0.29825362185402615,0.20547396071238214
high_depression_w7,XGBoost,1,0.5341753636938646,0.31565129708055667,0.21093319123270476
high_depression_w7,XGBoost,2,0.583886780518659,0.30620210416211874,0.2053429989898595
high_depression_w7,XGBoost,3,0.6060246679316889,0.35545665683576927,0.19732269472168154
high_depression_w7,XGBoost,4,0.5533088235294117,0.3198645615438795,0.20559550724315218
high_risk_trajectory_C1C4,LogisticL1,0,0.6212782850337435,0.5999209230585452,0.2389978023060532
high_risk_trajectory_C1C4,LogisticL1,1,0.6295333194646696,0.57533116704014,0.23834704840966697
high_risk_trajectory_C1C4,LogisticL1,2,0.6195305457319187,0.5480277353231506,0.23986889797488514
high_risk_trajectory_C1C4,LogisticL1,3,0.621333472019971,0.5714089994361509,0.23893051907067644
high_risk_trajectory_C1C4,LogisticL1,4,0.5985888634630053,0.5391107283057981,0.24350195305350564
high_risk_trajectory_C1C4,RandomForest,0,0.6503788597959853,0.6439820406719985,0.23188332555481725
high_risk_trajectory_C1C4,RandomForest,1,0.6669267041120588,0.6246426311861031,0.229358320735924
high_risk_trajectory_C1C4,RandomForest,2,0.6489667845503087,0.6258185912566778,0.23307326097502865
high_risk_trajectory_C1C4,RandomForest,3,0.6517058456417724,0.6088597789738456,0.23226326536404568
high_risk_trajectory_C1C4,RandomForest,4,0.6441647597254005,0.6298084354829352,0.23369299035579003
high_risk_trajectory_C1C4,GradientBoosting,0,0.6324283273210556,0.6205070887307029,0.24482511568633294
high_risk_trajectory_C1C4,GradientBoosting,1,0.645204909506969,0.6193464378781284,0.24040118727114196
high_risk_trajectory_C1C4,GradientBoosting,2,0.6408016087649955,0.6172624532316708,0.24170813790488205
high_risk_trajectory_C1C4,GradientBoosting,3,0.6565252062963733,0.6116693735959229,0.2345908281347957
