ID,class_K4_unweighted,class_K4_weighted_aligned
7802.0,3,3
11922.0,3,3
11932.0,4,4
12852.0,4,4
15902.0,4,4
20792.0,4,4
21452.0,4,4
25911.0,1,1
25921.0,4,4
25931.0,4,4
25951.0,1,1
25971.0,3,3
25981.0,3,3
25991.0,1,1
26001.0,3,3
26011.0,1,1
26021.0,3,3
26031.0,4,4
26041.0,3,3
26051.0,3,3
26061.0,2,3
26071.0,2,2
26081.0,4,4
26091.0,3,3
26101.0,2,2
26111.0,4,4
26121.0,4,4
26131.0,4,3
26141.0,4,4
26151.0,2,2
26161.0,4,4
26171.0,1,1
26181.0,3,3
26191.0,3,3
26201.0,3,3
26211.0,3,3
26221.0,3,3
26231.0,3,3
26241.0,3,3
26251.0,1,1
26261.0,4,1
26271.0,1,1
26281.0,2,2
26291.0,1,1
26301.0,1,1
26302.0,1,1
26311.0,1,1
26321.0,3,3
26331.0,3,3
26341.0,4,4
26351.0,3,3
26361.0,3,3
26371.0,4,4
26381.0,3,1
26391.0,2,2
26401.0,4,4
26411.0,3,3
26421.0,4,4
26431.0,4,4
26441.0,3,3
26451.0,4,1
26461.0,3,3
26471.0,1,1
26481.0,3,3
26491.0,1,1
26501.0,4,4
26511.0,3,3
26521.0,1,1
26531.0,3,3
26541.0,3,3
26551.0,3,3
26561.0,1,1
26571.0,1,1
26581.0,4,4
26591.0,3,3
26601.0,4,4
26611.0,3,3
26621.0,1,1
26631.0,3,3
26641.0,4,4
26651.0,3,3
26661.0,4,4
26671.0,2,2
26681.0,3,3
26691.0,3,3
26701.0,4,4
26711.0,3,3
26721.0,4,4
26731.0,4,4
26741.0,4,4
26751.0,1,1
26761.0,4,4
26771.0,4,4
26781.0,4,4
26791.0,1,1
26801.0,3,3
26811.0,4,4
26821.0,2,2
26831.0,1,1
26841.0,1,1
26851.0,1,1
26861.0,1,1
26871.0,1,1
26881.0,1,1
26891.0,3,3
26901.0,3,3
26911.0,4,4
26921.0,4,4
26931.0,1,1
26941.0,3,3
26951.0,1,1
26961.0,3,3
26971.0,1,1
26981.0,3,3
26991.0,2,2
27001.0,1,1
27011.0,3,3
27021.0,3,3
27031.0,3,3
27041.0,1,1
27051.0,1,1
27061.0,4,4
27071.0,1,1
27081.0,2,4
27091.0,4,4
27101.0,4,4
27111.0,4,4
27121.0,3,3
27131.0,2,2
27141.0,2,2
27151.0,3,3
27161.0,4,4
27171.0,3,3
27181.0,4,4
27191.0,1,1
27201.0,1,1
27211.0,4,4
27221.0,1,1
27231.0,4,3
27241.0,4,4
27251.0,3,3
27261.0,4,4
27271.0,4,4
27281.0,4,4
27291.0,3,3
27301.0,2,2
27311.0,1,1
27312.0,1,1
27321.0,4,3
27331.0,4,4
27341.0,4,4
27351.0,3,3
27371.0,3,3
27381.0,4,4
27391.0,3,3
27401.0,1,1
27411.0,4,4
27421.0,3,3
27431.0,4,4
27451.0,4,4
27461.0,1,3
27471.0,4,4
27481.0,4,4
27491.0,3,3
27501.0,3,3
27511.0,3,3
27521.0,2,2
27531.0,1,1
27541.0,3,3
27551.0,1,1
27561.0,3,3
27571.0,4,4
27581.0,1,1
27591.0,3,3
27601.0,3,3
27611.0,4,4
27621.0,4,4
27631.0,3,3
27641.0,1,1
27651.0,2,2
27661.0,3,3
27671.0,1,1
27681.0,2,2
27691.0,4,4
27701.0,3,3
27711.0,1,1
27721.0,3,3
27731.0,1,1
27741.0,2,2
27751.0,1,1
27761.0,4,4
27771.0,4,4
27781.0,4,4
27791.0,3,3
27801.0,4,4
27811.0,1,1
27821.0,4,4
27831.0,2,2
27841.0,3,3
27851.0,4,4
27861.0,1,1
27871.0,2,2
27881.0,2,2
27891.0,4,4
27901.0,1,1
27911.0,1,1
27921.0,3,3
27931.0,1,1
27941.0,2,2
27951.0,1,1
27961.0,4,4
27971.0,4,3
27981.0,3,3
27991.0,4,4
28001.0,4,4
28011.0,2,2
28021.0,2,2
28031.0,3,3
28041.0,3,3
28051.0,4,4
28061.0,1,1
28071.0,4,4
28081.0,4,4
28091.0,2,2
28101.0,4,4
28111.0,2,2
28121.0,4,4
28131.0,4,4
28141.0,2,2
28151.0,2,2
28161.0,3,3
28171.0,3,3
28181.0,4,4
28191.0,1,1
28201.0,3,3
28211.0,3,3
28221.0,3,3
28231.0,1,1
28241.0,3,3
28251.0,3,3
28261.0,3,3
28271.0,3,3
28281.0,1,1
28291.0,3,3
28301.0,3,3
28311.0,3,3
28321.0,3,3
28331.0,2,2
28341.0,4,1
28351.0,4,4
28361.0,4,4
28381.0,2,2
28391.0,4,4
28401.0,3,3
28411.0,1,1
28421.0,4,4
28431.0,3,3
28441.0,1,1
28451.0,3,3
28461.0,4,4
28471.0,1,1
28481.0,2,2
28491.0,3,3
28501.0,1,1
28511.0,1,1
28521.0,4,4
28531.0,1,1
28541.0,1,1
28551.0,4,4
28561.0,4,4
28571.0,3,3
28581.0,4,4
28591.0,2,2
28601.0,3,3
28611.0,4,4
28621.0,3,3
28631.0,2,2
28641.0,4,4
28651.0,4,4
28661.0,4,4
28671.0,4,4
28681.0,3,3
28691.0,1,1
28701.0,4,4
28711.0,4,4
28721.0,4,4
28731.0,4,4
28741.0,4,4
28751.0,4,4
28761.0,1,1
28771.0,4,4
28781.0,4,4
28791.0,4,4
28801.0,1,1
28811.0,4,4
28812.0,4,4
28821.0,1,1
28831.0,4,4
28841.0,3,3
28851.0,4,4
28861.0,2,2
28871.0,3,3
28881.0,4,4
28891.0,1,1
28901.0,4,4
28911.0,3,3
28921.0,4,4
28931.0,4,4
28941.0,1,1
28951.0,4,4
28961.0,3,3
28971.0,4,4
28981.0,3,3
28991.0,4,4
29001.0,1,1
29011.0,1,1
29021.0,1,1
29031.0,2,2
29041.0,2,2
29051.0,1,1
29061.0,4,4
29071.0,1,1
29081.0,3,3
29091.0,3,3
29101.0,4,4
29111.0,1,1
29121.0,3,3
29131.0,3,3
29141.0,4,4
29151.0,3,3
29161.0,4,4
29171.0,3,3
29181.0,4,4
29191.0,3,3
29201.0,3,3
29211.0,2,2
29221.0,1,1
29241.0,1,1
29251.0,2,2
29261.0,1,1
29271.0,4,4
29281.0,4,4
29291.0,4,3
29301.0,3,3
29311.0,2,2
29321.0,1,1
29331.0,1,1
29341.0,1,1
29351.0,1,1
29361.0,3,3
29371.0,3,3
29381.0,1,1
29391.0,4,4
29401.0,1,1
29411.0,3,3
29421.0,1,1
29431.0,1,1
29441.0,3,3
29451.0,3,3
29461.0,3,3
29471.0,3,3
29481.0,2,4
29491.0,3,3
29501.0,3,3
29511.0,3,3
29521.0,4,4
29531.0,1,1
29541.0,3,3
29551.0,3,3
29561.0,3,3
29571.0,4,4
29581.0,3,3
29591.0,3,3
29601.0,1,1
29611.0,3,3
29621.0,1,1
29631.0,3,3
29641.0,3,3
29651.0,3,3
29661.0,1,1
