Outcome (W7),Statistic
"Suicidal ideation (any, ≥2)",BCH-corrected proportion [95% CI]; OR vs C1 Stable-Low [95% CI]
  C1 Stable-Low,"8.0% [4.5, 11.2]    1.00 (ref)"
  C2 Persistent-High,"47.7% [40.5, 55.6]    OR = 10.57 [6.49, 20.21]"
  C3 Decreasing,"30.4% [25.5, 35.2]    OR = 5.05 [3.21, 9.45]"
  C4 Late-Increasing,"56.8% [52.3, 61.8]    OR = 15.23 [9.57, 29.00]"
"Suicidal ideation (strong, ≥3)",BCH-corrected proportion [95% CI]; OR vs C1 Stable-Low [95% CI]
  C1 Stable-Low,"1.1% [0.0, 2.6]    1.00 (ref)"
  C2 Persistent-High,"13.6% [9.0, 18.8]    OR = 14.48 [4.84, 149.13]"
  C3 Decreasing,"2.4% [0.4, 4.6]    OR = 2.26 [0.38, 23.60]"
  C4 Late-Increasing,"11.5% [9.0, 14.4]    OR = 11.97 [4.19, 121.43]"
Mean depression W7 (1-4),BCH-corrected mean [95% CI]
  C1 Stable-Low,"1.17 [1.13, 1.21]"
  C2 Persistent-High,"2.19 [2.09, 2.28]"
  C3 Decreasing,"1.53 [1.48, 1.59]"
  C4 Late-Increasing,"2.04 [1.99, 2.09]"
Mean life satisfaction W7 (1-4),BCH-corrected mean [95% CI]
  C1 Stable-Low,"2.73 [2.68, 2.79]"
  C2 Persistent-High,"2.32 [2.24, 2.40]"
  C3 Decreasing,"2.53 [2.48, 2.58]"
  C4 Late-Increasing,"2.49 [2.44, 2.53]"
